MW750027 delta_MW750027
MZ386070 delta_MZ386070
MZ386048 delta_MZ386048
MZ386089 delta_MZ386089
MZ386017 delta_MZ386017
MZ386113 delta_MZ386113
MZ386097 delta_MZ386097
MZ375989 delta_MZ375989
MZ375900 delta_MZ375900
MZ385773 delta_MZ385773
MZ376102 delta_MZ376102
MZ376067 delta_MZ376067
MZ376486 delta_MZ376486
MZ376492 delta_MZ376492
MZ376460 delta_MZ376460
MZ376470 delta_MZ376470
MZ376473 delta_MZ376473
MZ376131 delta_MZ376131
MZ376496 delta_MZ376496
MZ376431 delta_MZ376431
MZ376469 delta_MZ376469
MZ375938 delta_MZ375938
MZ376545 delta_MZ376545
MZ385828 delta_MZ385828
MZ385863 delta_MZ385863
MZ385850 delta_MZ385850
MZ385833 delta_MZ385833
MZ385871 delta_MZ385871
MZ385814 delta_MZ385814
MZ376534 delta_MZ376534
MZ376379 delta_MZ376379
MZ376249 delta_MZ376249
MZ385884 delta_MZ385884
MZ385888 delta_MZ385888
MZ385961 delta_MZ385961
MZ385982 delta_MZ385982
MZ385952 delta_MZ385952
MZ385931 delta_MZ385931
MZ385978 delta_MZ385978
MZ376179 delta_MZ376179
MZ382816 delta_MZ382816
MZ377520 delta_MZ377520
MZ375540 delta_MZ375540
MZ375570 delta_MZ375570
MZ375596 delta_MZ375596
MZ375548 delta_MZ375548
MZ377415 delta_MZ377415
MZ377422 delta_MZ377422
MZ377434 delta_MZ377434
MZ377447 delta_MZ377447
MZ377453 delta_MZ377453
MZ377465 delta_MZ377465
MZ378130 delta_MZ378130
MZ378038 delta_MZ378038
MZ378046 delta_MZ378046
MZ378045 delta_MZ378045
MZ378057 delta_MZ378057
MZ394270.1 delta_MZ394270.1
MZ394345.1 delta_MZ394345.1
MZ394331.1 delta_MZ394331.1
MZ434515.1 delta_MZ434515.1
MZ434393.1 delta_MZ434393.1
MZ433688.1 delta_MZ433688.1
MZ434666.1 delta_MZ434666.1
MZ405188.1 delta_MZ405188.1
MZ401465.1 delta_MZ401465.1
MZ402485.1 delta_MZ402485.1
MZ405183.1 delta_MZ405183.1
MZ405697.1 delta_MZ405697.1
MZ401459.1 delta_MZ401459.1
MZ401460.1 delta_MZ401460.1
MZ405144.1 delta_MZ405144.1
MZ401937.1 delta_MZ401937.1
MZ405698.1 delta_MZ405698.1
MZ405177.1 delta_MZ405177.1
MZ402507.1 delta_MZ402507.1
MZ402604.1 delta_MZ402604.1
MZ402743.1 delta_MZ402743.1
MZ402741.1 delta_MZ402741.1
MZ403742.1 delta_MZ403742.1
MZ402505.1 delta_MZ402505.1
MZ402742.1 delta_MZ402742.1
MZ402515.1 delta_MZ402515.1
MZ402617.1 delta_MZ402617.1
MZ402611.1 delta_MZ402611.1
MZ403743.1 delta_MZ403743.1
MZ402605.1 delta_MZ402605.1
MZ402740.1 delta_MZ402740.1
MZ402508.1 delta_MZ402508.1
MZ402658.1 delta_MZ402658.1
MZ403744.1 delta_MZ403744.1
MZ402501.1 delta_MZ402501.1
MZ402503.1 delta_MZ402503.1
MZ401452.1 delta_MZ401452.1
MZ401451.1 delta_MZ401451.1
MZ401450.1 delta_MZ401450.1
MZ401453.1 delta_MZ401453.1
MZ401454.1 delta_MZ401454.1
MZ401457.1 delta_MZ401457.1
MZ401456.1 delta_MZ401456.1
MZ401504.1 delta_MZ401504.1
MZ402499.1 delta_MZ402499.1
MZ402498.1 delta_MZ402498.1
MZ402500.1 delta_MZ402500.1
MZ401449.1 delta_MZ401449.1
MZ401484.1 delta_MZ401484.1
MZ401494.1 delta_MZ401494.1
MZ401495.1 delta_MZ401495.1
MZ401496.1 delta_MZ401496.1
MZ401497.1 delta_MZ401497.1
MZ401501.1 delta_MZ401501.1
MZ401503.1 delta_MZ401503.1
MZ401498.1 delta_MZ401498.1
MZ402506.1 delta_MZ402506.1
MZ402502.1 delta_MZ402502.1
MZ402504.1 delta_MZ402504.1
MZ401499.1 delta_MZ401499.1
MZ401505.1 delta_MZ401505.1
MZ401447.1 delta_MZ401447.1
MZ401448.1 delta_MZ401448.1
MZ401445.1 delta_MZ401445.1
MZ401446.1 delta_MZ401446.1
MZ396559.1 delta_MZ396559.1
MZ396560.1 delta_MZ396560.1
MZ397276.1 delta_MZ397276.1
MZ397337.1 delta_MZ397337.1
MZ397413.1 delta_MZ397413.1
MZ397339.1 delta_MZ397339.1
MZ397338.1 delta_MZ397338.1
MZ397466.1 delta_MZ397466.1
MZ397384.1 delta_MZ397384.1
MZ397913.1 delta_MZ397913.1
MZ397911.1 delta_MZ397911.1
MZ397171.1 delta_MZ397171.1
MZ411803.1 delta_MZ411803.1
MZ412157.1 delta_MZ412157.1
MZ411813.1 delta_MZ411813.1
MZ413530.1 delta_MZ413530.1
MZ415787.1 delta_MZ415787.1
MZ412056.1 delta_MZ412056.1
MZ411886.1 delta_MZ411886.1
MZ411517.1 delta_MZ411517.1
MZ416208.1 delta_MZ416208.1
MZ414596.1 delta_MZ414596.1
MZ414686.1 delta_MZ414686.1
MZ415166.1 delta_MZ415166.1
MZ415187.1 delta_MZ415187.1
MZ415314.1 delta_MZ415314.1
MZ414234.1 delta_MZ414234.1
MZ414231.1 delta_MZ414231.1
MZ415504.1 delta_MZ415504.1
MZ414862.1 delta_MZ414862.1
MZ413612.1 delta_MZ413612.1
MZ413619.1 delta_MZ413619.1
MZ413630.1 delta_MZ413630.1
MZ413622.1 delta_MZ413622.1
MZ413624.1 delta_MZ413624.1
MZ413608.1 delta_MZ413608.1
MZ413605.1 delta_MZ413605.1
MZ413600.1 delta_MZ413600.1
MZ413297.1 delta_MZ413297.1
MZ413298.1 delta_MZ413298.1
MZ413296.1 delta_MZ413296.1
MZ413334.1 delta_MZ413334.1
MZ413356.1 delta_MZ413356.1
MZ413357.1 delta_MZ413357.1
MZ411656.1 delta_MZ411656.1
MZ412071.1 delta_MZ412071.1
MZ412387.1 delta_MZ412387.1
MZ412317.1 delta_MZ412317.1
MZ412342.1 delta_MZ412342.1
MZ412330.1 delta_MZ412330.1
MZ412341.1 delta_MZ412341.1
MZ411851.1 delta_MZ411851.1
MZ412243.1 delta_MZ412243.1
MZ411810.1 delta_MZ411810.1
MZ412223.1 delta_MZ412223.1
MZ412121.1 delta_MZ412121.1
MZ412118.1 delta_MZ412118.1
MZ411933.1 delta_MZ411933.1
MZ411530.1 delta_MZ411530.1
MZ410770.1 delta_MZ410770.1
MZ410771.1 delta_MZ410771.1
MZ410767.1 delta_MZ410767.1
MZ410768.1 delta_MZ410768.1
MZ411531.1 delta_MZ411531.1
MZ436858.1 delta_MZ436858.1
MZ433858.1 delta_MZ433858.1
MZ433816.1 delta_MZ433816.1
MZ433692.1 delta_MZ433692.1
MZ433787.1 delta_MZ433787.1
MZ434396.1 delta_MZ434396.1
MZ434436.1 delta_MZ434436.1
MZ434327.1 delta_MZ434327.1
MZ434402.1 delta_MZ434402.1
MZ434601.1 delta_MZ434601.1
MZ433150.1 delta_MZ433150.1
MZ433007.1 delta_MZ433007.1
MZ432703.1 delta_MZ432703.1
MZ432582.1 delta_MZ432582.1
MZ432626.1 delta_MZ432626.1
MZ432711.1 delta_MZ432711.1
MZ432599.1 delta_MZ432599.1
MZ432630.1 delta_MZ432630.1
MZ432643.1 delta_MZ432643.1
MZ432613.1 delta_MZ432613.1
MZ432489.1 delta_MZ432489.1
MZ432636.1 delta_MZ432636.1
MZ432447.1 delta_MZ432447.1
MZ432521.1 delta_MZ432521.1
MZ432441.1 delta_MZ432441.1
MZ432456.1 delta_MZ432456.1
MZ432507.1 delta_MZ432507.1
MZ432440.1 delta_MZ432440.1
MZ432482.1 delta_MZ432482.1
MZ432439.1 delta_MZ432439.1
MZ432452.1 delta_MZ432452.1
MZ432267.1 delta_MZ432267.1
MZ432305.1 delta_MZ432305.1
MZ432245.1 delta_MZ432245.1
MZ432236.1 delta_MZ432236.1
MZ432379.1 delta_MZ432379.1
MZ432352.1 delta_MZ432352.1
MZ432080.1 delta_MZ432080.1
MZ432092.1 delta_MZ432092.1
MZ432193.1 delta_MZ432193.1
MZ432116.1 delta_MZ432116.1
MZ432122.1 delta_MZ432122.1
MZ432098.1 delta_MZ432098.1
MZ431896.1 delta_MZ431896.1
MZ431850.1 delta_MZ431850.1
MZ431910.1 delta_MZ431910.1
MZ431858.1 delta_MZ431858.1
MZ432105.1 delta_MZ432105.1
MZ432173.1 delta_MZ432173.1
MZ432103.1 delta_MZ432103.1
MZ432111.1 delta_MZ432111.1
MZ431889.1 delta_MZ431889.1
MZ431907.1 delta_MZ431907.1
MZ431998.1 delta_MZ431998.1
MZ431882.1 delta_MZ431882.1
MZ431887.1 delta_MZ431887.1
MZ432163.1 delta_MZ432163.1
MZ431987.1 delta_MZ431987.1
MZ431880.1 delta_MZ431880.1
MZ430819.1 delta_MZ430819.1
MZ430899.1 delta_MZ430899.1
MZ430901.1 delta_MZ430901.1
MZ430900.1 delta_MZ430900.1
MZ430898.1 delta_MZ430898.1
MZ430926.1 delta_MZ430926.1
MZ430893.1 delta_MZ430893.1
MZ430902.1 delta_MZ430902.1
MZ430917.1 delta_MZ430917.1
MZ430865.1 delta_MZ430865.1
MZ429145.1 delta_MZ429145.1
MZ430658.1 delta_MZ430658.1
MZ430709.1 delta_MZ430709.1
MZ430601.1 delta_MZ430601.1
MZ430605.1 delta_MZ430605.1
MZ430619.1 delta_MZ430619.1
MZ430612.1 delta_MZ430612.1
MZ429203.1 delta_MZ429203.1
MZ442212.1 delta_MZ442212.1
MZ440935.1 delta_MZ440935.1
MZ440962.1 delta_MZ440962.1
MZ440953.1 delta_MZ440953.1
MZ440963.1 delta_MZ440963.1
MZ440957.1 delta_MZ440957.1
MZ440969.1 delta_MZ440969.1
MZ440970.1 delta_MZ440970.1
MZ438653.1 delta_MZ438653.1
MZ438654.1 delta_MZ438654.1
MZ440983.1 delta_MZ440983.1
MZ440974.1 delta_MZ440974.1
MZ441011.1 delta_MZ441011.1
MZ441040.1 delta_MZ441040.1
MZ441029.1 delta_MZ441029.1
MZ441023.1 delta_MZ441023.1
MZ441002.1 delta_MZ441002.1
MZ441036.1 delta_MZ441036.1
MZ441025.1 delta_MZ441025.1
MZ441044.1 delta_MZ441044.1
MZ440907.1 delta_MZ440907.1
MZ438604.1 delta_MZ438604.1
MZ437368.1 delta_MZ437368.1
MZ450771.1 delta_MZ450771.1
MZ450772.1 delta_MZ450772.1
MZ450687.1 delta_MZ450687.1
MZ450720.1 delta_MZ450720.1
MZ450656.1 delta_MZ450656.1
MZ450681.1 delta_MZ450681.1
MZ450701.1 delta_MZ450701.1
MZ450683.1 delta_MZ450683.1
MZ450690.1 delta_MZ450690.1
MZ450575.1 delta_MZ450575.1
MZ450576.1 delta_MZ450576.1
MZ450737.1 delta_MZ450737.1
MZ450752.1 delta_MZ450752.1
MZ450675.1 delta_MZ450675.1
MZ450600.1 delta_MZ450600.1
MZ450718.1 delta_MZ450718.1
MZ450157.1 delta_MZ450157.1
MZ450518.1 delta_MZ450518.1
MZ450522.1 delta_MZ450522.1
MZ450528.1 delta_MZ450528.1
MZ450573.1 delta_MZ450573.1
MZ450559.1 delta_MZ450559.1
MZ450558.1 delta_MZ450558.1
MZ450629.1 delta_MZ450629.1
MZ450517.1 delta_MZ450517.1
MZ450617.1 delta_MZ450617.1
MZ450499.1 delta_MZ450499.1
MZ450344.1 delta_MZ450344.1
MZ450455.1 delta_MZ450455.1
MZ450357.1 delta_MZ450357.1
MZ450351.1 delta_MZ450351.1
MZ450552.1 delta_MZ450552.1
MZ450457.1 delta_MZ450457.1
MZ450442.1 delta_MZ450442.1
MZ450323.1 delta_MZ450323.1
MZ444210.1 delta_MZ444210.1
MZ450362.1 delta_MZ450362.1
MZ450366.1 delta_MZ450366.1
MZ450477.1 delta_MZ450477.1
MZ450178.1 delta_MZ450178.1
MZ450206.1 delta_MZ450206.1
MZ450306.1 delta_MZ450306.1
MZ450411.1 delta_MZ450411.1
MZ450043.1 delta_MZ450043.1
MZ450168.1 delta_MZ450168.1
MZ450170.1 delta_MZ450170.1
MZ450171.1 delta_MZ450171.1
MZ449743.1 delta_MZ449743.1
MZ449712.1 delta_MZ449712.1
MZ449720.1 delta_MZ449720.1
MZ449721.1 delta_MZ449721.1
MZ449723.1 delta_MZ449723.1
MZ451953.1 delta_MZ451953.1
MZ449719.1 delta_MZ449719.1
MZ449753.1 delta_MZ449753.1
MZ451728.1 delta_MZ451728.1
MZ451727.1 delta_MZ451727.1
MZ449717.1 delta_MZ449717.1
MZ451825.1 delta_MZ451825.1
MZ451879.1 delta_MZ451879.1
MZ451818.1 delta_MZ451818.1
MZ451836.1 delta_MZ451836.1
MZ451881.1 delta_MZ451881.1
MZ448465.1 delta_MZ448465.1
MZ451822.1 delta_MZ451822.1
MZ451829.1 delta_MZ451829.1
MZ451837.1 delta_MZ451837.1
MZ451877.1 delta_MZ451877.1
MZ451765.1 delta_MZ451765.1
MZ451729.1 delta_MZ451729.1
MZ451733.1 delta_MZ451733.1
MZ451854.1 delta_MZ451854.1
MZ451853.1 delta_MZ451853.1
MZ451855.1 delta_MZ451855.1
MZ451851.1 delta_MZ451851.1
MZ451929.1 delta_MZ451929.1
MZ451724.1 delta_MZ451724.1
MZ451860.1 delta_MZ451860.1
MZ451770.1 delta_MZ451770.1
MZ451735.1 delta_MZ451735.1
MZ448467.1 delta_MZ448467.1
MZ451878.1 delta_MZ451878.1
MZ451696.1 delta_MZ451696.1
MZ451717.1 delta_MZ451717.1
MZ451833.1 delta_MZ451833.1
MZ451821.1 delta_MZ451821.1
MZ451952.1 delta_MZ451952.1
MZ451773.1 delta_MZ451773.1
MZ451801.1 delta_MZ451801.1
MZ451799.1 delta_MZ451799.1
MZ448685.1 delta_MZ448685.1
MZ462650.1 delta_MZ462650.1
MZ462612.1 delta_MZ462612.1
MZ462640.1 delta_MZ462640.1
MZ462680.1 delta_MZ462680.1
MZ462468.1 delta_MZ462468.1
MZ462483.1 delta_MZ462483.1
MZ462815.1 delta_MZ462815.1
MZ462541.1 delta_MZ462541.1
MZ462866.1 delta_MZ462866.1
MZ462877.1 delta_MZ462877.1
MZ477924.1 delta_MZ477924.1
MZ477920.1 delta_MZ477920.1
MZ477922.1 delta_MZ477922.1
MZ477914.1 delta_MZ477914.1
MZ477934.1 delta_MZ477934.1
MZ477925.1 delta_MZ477925.1
MZ477936.1 delta_MZ477936.1
MZ477928.1 delta_MZ477928.1
MZ477935.1 delta_MZ477935.1
MZ477933.1 delta_MZ477933.1
MZ477926.1 delta_MZ477926.1
MZ477945.1 delta_MZ477945.1
MZ477970.1 delta_MZ477970.1
MZ477969.1 delta_MZ477969.1
MZ477966.1 delta_MZ477966.1
MZ477971.1 delta_MZ477971.1
MZ477947.1 delta_MZ477947.1
MZ477973.1 delta_MZ477973.1
MZ477955.1 delta_MZ477955.1
MZ477996.1 delta_MZ477996.1
MZ477991.1 delta_MZ477991.1
MZ477998.1 delta_MZ477998.1
MZ477983.1 delta_MZ477983.1
MZ477977.1 delta_MZ477977.1
MZ466404.1 delta_MZ466404.1
MZ466403.1 delta_MZ466403.1
MZ478001.1 delta_MZ478001.1
MZ478005.1 delta_MZ478005.1
MZ478016.1 delta_MZ478016.1
MZ478014.1 delta_MZ478014.1
MZ478013.1 delta_MZ478013.1
MZ478033.1 delta_MZ478033.1
MZ478041.1 delta_MZ478041.1
MZ456029.1 delta_MZ456029.1
MZ456027.1 delta_MZ456027.1
MZ453704.1 delta_MZ453704.1
MZ456026.1 delta_MZ456026.1
MZ456530.1 delta_MZ456530.1
MZ456550.1 delta_MZ456550.1
MZ456545.1 delta_MZ456545.1
MZ456533.1 delta_MZ456533.1
MZ453500.1 delta_MZ453500.1
MZ453501.1 delta_MZ453501.1
MZ453489.1 delta_MZ453489.1
MZ456532.1 delta_MZ456532.1
MZ453484.1 delta_MZ453484.1
MZ453485.1 delta_MZ453485.1
MZ453464.1 delta_MZ453464.1
MZ453472.1 delta_MZ453472.1
MZ461297.1 delta_MZ461297.1
MZ454597.1 delta_MZ454597.1
MZ467938.1 delta_MZ467938.1
MZ467918.1 delta_MZ467918.1
MZ467902.1 delta_MZ467902.1
MZ467912.1 delta_MZ467912.1
MZ467855.1 delta_MZ467855.1
MZ467903.1 delta_MZ467903.1
MZ467866.1 delta_MZ467866.1
MZ467872.1 delta_MZ467872.1
MZ467904.1 delta_MZ467904.1
MZ467868.1 delta_MZ467868.1
MZ467891.1 delta_MZ467891.1
MZ467996.1 delta_MZ467996.1
MZ468001.1 delta_MZ468001.1
MZ467995.1 delta_MZ467995.1
MZ467994.1 delta_MZ467994.1
MZ467997.1 delta_MZ467997.1
MZ467992.1 delta_MZ467992.1
MZ467991.1 delta_MZ467991.1
MZ468000.1 delta_MZ468000.1
MZ465630.1 delta_MZ465630.1
MZ467034.1 delta_MZ467034.1
MZ467035.1 delta_MZ467035.1
MZ462326.1 delta_MZ462326.1
MZ467719.1 delta_MZ467719.1
MZ462362.1 delta_MZ462362.1
MZ462320.1 delta_MZ462320.1
MZ467852.1 delta_MZ467852.1
MZ468002.1 delta_MZ468002.1
MZ469272.1 delta_MZ469272.1
MZ468047.1 delta_MZ468047.1
MZ472688.1 delta_MZ472688.1
MZ473599.1 delta_MZ473599.1
MZ475447.1 delta_MZ475447.1
MZ475523.1 delta_MZ475523.1
MZ475449.1 delta_MZ475449.1
MZ475448.1 delta_MZ475448.1
MZ475575.1 delta_MZ475575.1
MZ475494.1 delta_MZ475494.1
MZ481908.1 delta_MZ481908.1
MZ470860.1 delta_MZ470860.1
MZ470861.1 delta_MZ470861.1
MZ481919.1 delta_MZ481919.1
MZ470859.1 delta_MZ470859.1
MZ481914.1 delta_MZ481914.1
MZ481915.1 delta_MZ481915.1
MZ481921.1 delta_MZ481921.1
MZ481918.1 delta_MZ481918.1
MZ470858.1 delta_MZ470858.1
MZ481917.1 delta_MZ481917.1
MZ481920.1 delta_MZ481920.1
MZ481916.1 delta_MZ481916.1
MZ481923.1 delta_MZ481923.1
MZ481925.1 delta_MZ481925.1
MZ481922.1 delta_MZ481922.1
MZ470857.1 delta_MZ470857.1
MZ470856.1 delta_MZ470856.1
MZ481924.1 delta_MZ481924.1
MZ470854.1 delta_MZ470854.1
MZ470855.1 delta_MZ470855.1
MZ470853.1 delta_MZ470853.1
MZ470847.1 delta_MZ470847.1
MZ481928.1 delta_MZ481928.1
MZ470850.1 delta_MZ470850.1
MZ470848.1 delta_MZ470848.1
MZ470852.1 delta_MZ470852.1
MZ470849.1 delta_MZ470849.1
MZ470851.1 delta_MZ470851.1
MZ481913.1 delta_MZ481913.1
MZ481911.1 delta_MZ481911.1
MZ481910.1 delta_MZ481910.1
MZ481912.1 delta_MZ481912.1
MZ481909.1 delta_MZ481909.1
MZ486493.1 delta_MZ486493.1
MZ486494.1 delta_MZ486494.1
MZ491057.1 delta_MZ491057.1
MZ492410.1 delta_MZ492410.1
MZ492419.1 delta_MZ492419.1
MZ492418.1 delta_MZ492418.1
MZ492379.1 delta_MZ492379.1
MZ492358.1 delta_MZ492358.1
MZ492361.1 delta_MZ492361.1
MZ492432.1 delta_MZ492432.1
MZ492393.1 delta_MZ492393.1
MZ492398.1 delta_MZ492398.1
MZ492404.1 delta_MZ492404.1
MZ492400.1 delta_MZ492400.1
MZ491279.1 delta_MZ491279.1
MZ492421.1 delta_MZ492421.1
MZ492392.1 delta_MZ492392.1
MZ492408.1 delta_MZ492408.1
MZ492413.1 delta_MZ492413.1
MZ492501.1 delta_MZ492501.1
MZ492401.1 delta_MZ492401.1
MZ492366.1 delta_MZ492366.1
MZ492434.1 delta_MZ492434.1
MZ492395.1 delta_MZ492395.1
MZ491288.1 delta_MZ491288.1
MZ492417.1 delta_MZ492417.1
MZ492509.1 delta_MZ492509.1
MZ492363.1 delta_MZ492363.1
MZ491513.1 delta_MZ491513.1
MZ491407.1 delta_MZ491407.1
MZ492165.1 delta_MZ492165.1
MZ492385.1 delta_MZ492385.1
MZ492394.1 delta_MZ492394.1
MZ491596.1 delta_MZ491596.1
MZ491619.1 delta_MZ491619.1
MZ491453.1 delta_MZ491453.1
MZ491608.1 delta_MZ491608.1
MZ491364.1 delta_MZ491364.1
MZ491534.1 delta_MZ491534.1
MZ491557.1 delta_MZ491557.1
MZ491456.1 delta_MZ491456.1
MZ491690.1 delta_MZ491690.1
MZ491754.1 delta_MZ491754.1
MZ491712.1 delta_MZ491712.1
MZ491598.1 delta_MZ491598.1
MZ491634.1 delta_MZ491634.1
MZ491662.1 delta_MZ491662.1
MZ491346.1 delta_MZ491346.1
MZ492292.1 delta_MZ492292.1
MZ492348.1 delta_MZ492348.1
MZ492168.1 delta_MZ492168.1
MZ492298.1 delta_MZ492298.1
MZ492301.1 delta_MZ492301.1
MZ492151.1 delta_MZ492151.1
MZ492285.1 delta_MZ492285.1
MZ492303.1 delta_MZ492303.1
MZ492177.1 delta_MZ492177.1
MZ491766.1 delta_MZ491766.1
MZ491571.1 delta_MZ491571.1
MZ491629.1 delta_MZ491629.1
MZ491678.1 delta_MZ491678.1
MZ491630.1 delta_MZ491630.1
MZ491695.1 delta_MZ491695.1
MZ491597.1 delta_MZ491597.1
MZ491327.1 delta_MZ491327.1
MZ491517.1 delta_MZ491517.1
MZ491694.1 delta_MZ491694.1
MZ491531.1 delta_MZ491531.1
MZ491595.1 delta_MZ491595.1
MZ491764.1 delta_MZ491764.1
MZ491756.1 delta_MZ491756.1
MZ491368.1 delta_MZ491368.1
MZ491473.1 delta_MZ491473.1
MZ491439.1 delta_MZ491439.1
MZ491470.1 delta_MZ491470.1
MZ492244.1 delta_MZ492244.1
MZ491401.1 delta_MZ491401.1
MZ491523.1 delta_MZ491523.1
MZ491348.1 delta_MZ491348.1
MZ491354.1 delta_MZ491354.1
MZ491384.1 delta_MZ491384.1
MZ491429.1 delta_MZ491429.1
MZ491442.1 delta_MZ491442.1
MZ491710.1 delta_MZ491710.1
MZ491561.1 delta_MZ491561.1
MZ491328.1 delta_MZ491328.1
MZ491437.1 delta_MZ491437.1
MZ491334.1 delta_MZ491334.1
MZ491480.1 delta_MZ491480.1
MZ491404.1 delta_MZ491404.1
MZ491399.1 delta_MZ491399.1
MZ491444.1 delta_MZ491444.1
MZ492160.1 delta_MZ492160.1
MZ492163.1 delta_MZ492163.1
MZ492211.1 delta_MZ492211.1
MZ492253.1 delta_MZ492253.1
MZ492164.1 delta_MZ492164.1
MZ492146.1 delta_MZ492146.1
MZ492259.1 delta_MZ492259.1
MZ492269.1 delta_MZ492269.1
MZ492275.1 delta_MZ492275.1
MZ492223.1 delta_MZ492223.1
MZ492157.1 delta_MZ492157.1
MZ492181.1 delta_MZ492181.1
MZ492186.1 delta_MZ492186.1
MZ491543.1 delta_MZ491543.1
MZ491545.1 delta_MZ491545.1
MZ491403.1 delta_MZ491403.1
MZ492237.1 delta_MZ492237.1
MZ491311.1 delta_MZ491311.1
MZ491784.1 delta_MZ491784.1
MZ491680.1 delta_MZ491680.1
MZ491369.1 delta_MZ491369.1
MZ491699.1 delta_MZ491699.1
MZ491460.1 delta_MZ491460.1
MZ491530.1 delta_MZ491530.1
MZ491343.1 delta_MZ491343.1
MZ491481.1 delta_MZ491481.1
MZ491365.1 delta_MZ491365.1
MZ491395.1 delta_MZ491395.1
MZ491670.1 delta_MZ491670.1
MZ491724.1 delta_MZ491724.1
MZ491749.1 delta_MZ491749.1
MZ491474.1 delta_MZ491474.1
MZ491689.1 delta_MZ491689.1
MZ491718.1 delta_MZ491718.1
MZ491438.1 delta_MZ491438.1
MZ491420.1 delta_MZ491420.1
MZ491367.1 delta_MZ491367.1
MZ491679.1 delta_MZ491679.1
MZ491652.1 delta_MZ491652.1
MZ491745.1 delta_MZ491745.1
MZ491516.1 delta_MZ491516.1
MZ491424.1 delta_MZ491424.1
MZ491483.1 delta_MZ491483.1
MZ491607.1 delta_MZ491607.1
MZ491454.1 delta_MZ491454.1
MZ491783.1 delta_MZ491783.1
MZ491352.1 delta_MZ491352.1
MZ491715.1 delta_MZ491715.1
MZ491584.1 delta_MZ491584.1
MZ491765.1 delta_MZ491765.1
MZ491358.1 delta_MZ491358.1
MZ491601.1 delta_MZ491601.1
MZ491385.1 delta_MZ491385.1
MZ491612.1 delta_MZ491612.1
MZ491414.1 delta_MZ491414.1
MZ491405.1 delta_MZ491405.1
MZ491394.1 delta_MZ491394.1
MZ491312.1 delta_MZ491312.1
MZ491576.1 delta_MZ491576.1
MZ491434.1 delta_MZ491434.1
MZ491478.1 delta_MZ491478.1
MZ491575.1 delta_MZ491575.1
MZ491762.1 delta_MZ491762.1
MZ491487.1 delta_MZ491487.1
MZ491333.1 delta_MZ491333.1
MZ491458.1 delta_MZ491458.1
MZ491606.1 delta_MZ491606.1
MZ491426.1 delta_MZ491426.1
MZ491770.1 delta_MZ491770.1
MZ491713.1 delta_MZ491713.1
MZ491711.1 delta_MZ491711.1
MZ491371.1 delta_MZ491371.1
MZ491302.1 delta_MZ491302.1
MZ492176.1 delta_MZ492176.1
MZ492284.1 delta_MZ492284.1
MZ492152.1 delta_MZ492152.1
MZ492205.1 delta_MZ492205.1
MZ492256.1 delta_MZ492256.1
MZ492159.1 delta_MZ492159.1
MZ492173.1 delta_MZ492173.1
MZ492162.1 delta_MZ492162.1
MZ492224.1 delta_MZ492224.1
MZ492182.1 delta_MZ492182.1
MZ492197.1 delta_MZ492197.1
MZ492189.1 delta_MZ492189.1
MZ492202.1 delta_MZ492202.1
MZ491654.1 delta_MZ491654.1
MZ491452.1 delta_MZ491452.1
MZ492270.1 delta_MZ492270.1
MZ491287.1 delta_MZ491287.1
MZ491417.1 delta_MZ491417.1
MZ491592.1 delta_MZ491592.1
MZ491524.1 delta_MZ491524.1
MZ491297.1 delta_MZ491297.1
MZ491337.1 delta_MZ491337.1
MZ491759.1 delta_MZ491759.1
MZ491614.1 delta_MZ491614.1
MZ491340.1 delta_MZ491340.1
MZ491769.1 delta_MZ491769.1
MZ491500.1 delta_MZ491500.1
MZ491326.1 delta_MZ491326.1
MZ491389.1 delta_MZ491389.1
MZ491313.1 delta_MZ491313.1
MZ491726.1 delta_MZ491726.1
MZ491390.1 delta_MZ491390.1
MZ491332.1 delta_MZ491332.1
MZ491393.1 delta_MZ491393.1
MZ491525.1 delta_MZ491525.1
MZ491541.1 delta_MZ491541.1
MZ491392.1 delta_MZ491392.1
MZ491475.1 delta_MZ491475.1
MZ491362.1 delta_MZ491362.1
MZ491728.1 delta_MZ491728.1
MZ491667.1 delta_MZ491667.1
MZ491686.1 delta_MZ491686.1
MZ491491.1 delta_MZ491491.1
MZ491567.1 delta_MZ491567.1
MZ491323.1 delta_MZ491323.1
MZ491506.1 delta_MZ491506.1
MZ491677.1 delta_MZ491677.1
MZ491585.1 delta_MZ491585.1
MZ491739.1 delta_MZ491739.1
MZ491514.1 delta_MZ491514.1
MZ491301.1 delta_MZ491301.1
MZ491529.1 delta_MZ491529.1
MZ491308.1 delta_MZ491308.1
MZ491377.1 delta_MZ491377.1
MZ492143.1 delta_MZ492143.1
MZ492266.1 delta_MZ492266.1
MZ492277.1 delta_MZ492277.1
MZ492271.1 delta_MZ492271.1
MZ492147.1 delta_MZ492147.1
MZ492145.1 delta_MZ492145.1
MZ492267.1 delta_MZ492267.1
MZ492214.1 delta_MZ492214.1
MZ492221.1 delta_MZ492221.1
MZ492234.1 delta_MZ492234.1
MZ492276.1 delta_MZ492276.1
MZ492342.1 delta_MZ492342.1
MZ492167.1 delta_MZ492167.1
MZ492156.1 delta_MZ492156.1
MZ492148.1 delta_MZ492148.1
MZ492281.1 delta_MZ492281.1
MZ491729.1 delta_MZ491729.1
MZ491501.1 delta_MZ491501.1
MZ491657.1 delta_MZ491657.1
