MZ290450 iota_MZ290450
MZ236622 iota_MZ236622
MZ498612.1 iota_MZ498612.1
MZ012433 iota_MZ012433
MZ179292 iota_MZ179292
MZ001375 iota_MZ001375
MZ132533 iota_MZ132533
MZ034989 iota_MZ034989
MZ073166 iota_MZ073166
MZ022478 iota_MZ022478
MZ228692 iota_MZ228692
MZ140733 iota_MZ140733
MZ284395 iota_MZ284395
MZ379562 iota_MZ379562
MZ154245 iota_MZ154245
MZ171963 iota_MZ171963
MZ201576 iota_MZ201576
MZ082817 iota_MZ082817
MZ217809 iota_MZ217809
MW931209 iota_MW931209
MZ075879 iota_MZ075879
MZ072999 iota_MZ072999
MZ233078 iota_MZ233078
MZ100328 iota_MZ100328
MZ173431 iota_MZ173431
MZ072195 iota_MZ072195
MZ252413 iota_MZ252413
MZ141072 iota_MZ141072
MZ206804 iota_MZ206804
MZ415592.1 iota_MZ415592.1
MZ071945 iota_MZ071945
MZ032366 iota_MZ032366
MZ141917 iota_MZ141917
MZ083777 iota_MZ083777
MZ141809 iota_MZ141809
MZ188556 iota_MZ188556
MZ227992 iota_MZ227992
MZ195320 iota_MZ195320
MW975512 iota_MW975512
MZ164577 iota_MZ164577
MZ253313 iota_MZ253313
MW976448 iota_MW976448
MZ491315.1 iota_MZ491315.1
MZ002345 iota_MZ002345
MW935681 iota_MW935681
MZ072923 iota_MZ072923
MZ083106 iota_MZ083106
MZ341483 iota_MZ341483
MW975069 iota_MW975069
MZ217698 iota_MZ217698
MZ153550 iota_MZ153550
MZ284169 iota_MZ284169
MZ228704 iota_MZ228704
MZ152417 iota_MZ152417
MZ306240 iota_MZ306240
MZ085844 iota_MZ085844
MZ390179 iota_MZ390179
MZ086432 iota_MZ086432
MZ180303 iota_MZ180303
MZ166866 iota_MZ166866
MZ213603 iota_MZ213603
MZ192039 iota_MZ192039
MW929801 iota_MW929801
MZ145466 iota_MZ145466
MW880511 iota_MW880511
MW941843 iota_MW941843
MW729267 iota_MW729267
MZ267446 iota_MZ267446
MZ211445 iota_MZ211445
MZ371110 iota_MZ371110
MW902904 iota_MW902904
MZ169605 iota_MZ169605
MZ186068 iota_MZ186068
MZ000670 iota_MZ000670
MZ307722 iota_MZ307722
MZ164292 iota_MZ164292
MZ000859 iota_MZ000859
MZ225762 iota_MZ225762
MZ056438 iota_MZ056438
MZ010891 iota_MZ010891
MZ499186.1 iota_MZ499186.1
MW991182 iota_MW991182
MZ100375 iota_MZ100375
MZ140966 iota_MZ140966
MZ181081 iota_MZ181081
MW930103 iota_MW930103
MZ281480 iota_MZ281480
MZ337119 iota_MZ337119
MZ451541.1 iota_MZ451541.1
MZ518524.1 iota_MZ518524.1
MZ257353 iota_MZ257353
MZ454528.1 iota_MZ454528.1
MW903686 iota_MW903686
MZ252898 iota_MZ252898
MZ211686 iota_MZ211686
MZ331247 iota_MZ331247
MW966078 iota_MW966078
MZ187005 iota_MZ187005
MZ012610 iota_MZ012610
MZ213318 iota_MZ213318
MZ316827 iota_MZ316827
MZ053819 iota_MZ053819
MZ231770 iota_MZ231770
MZ253046 iota_MZ253046
MZ281109 iota_MZ281109
MZ171627 iota_MZ171627
MW891723 iota_MW891723
MZ025364 iota_MZ025364
MZ167969 iota_MZ167969
MZ005940 iota_MZ005940
MZ009519 iota_MZ009519
MZ260255 iota_MZ260255
MZ252909 iota_MZ252909
MZ199091 iota_MZ199091
MZ384343 iota_MZ384343
MZ372043 iota_MZ372043
MW904260 iota_MW904260
MW942859 iota_MW942859
MZ288547 iota_MZ288547
MW892264 iota_MW892264
MZ159163 iota_MZ159163
MZ252544 iota_MZ252544
MZ538327.1 iota_MZ538327.1
MW976386 iota_MW976386
MZ363248 iota_MZ363248
MW944068 iota_MW944068
MZ215120 iota_MZ215120
MZ320552 iota_MZ320552
MZ389992 iota_MZ389992
MZ491345.1 iota_MZ491345.1
MZ085172 iota_MZ085172
MZ341599 iota_MZ341599
MZ498934.1 iota_MZ498934.1
MW932300 iota_MW932300
MZ022153 iota_MZ022153
MZ073193 iota_MZ073193
MZ213032 iota_MZ213032
MW975264 iota_MW975264
MW987363 iota_MW987363
MW942420 iota_MW942420
MZ342670 iota_MZ342670
MZ025816 iota_MZ025816
MZ048116 iota_MZ048116
MZ231413 iota_MZ231413
MZ214857 iota_MZ214857
MZ061509 iota_MZ061509
MZ280206 iota_MZ280206
MZ315213 iota_MZ315213
MZ288313 iota_MZ288313
MZ012578 iota_MZ012578
MZ258199 iota_MZ258199
MW990816 iota_MW990816
MW894251 iota_MW894251
MZ024304 iota_MZ024304
MZ086037 iota_MZ086037
MZ153894 iota_MZ153894
MZ002917 iota_MZ002917
MZ315963 iota_MZ315963
MW880430 iota_MW880430
MZ075449 iota_MZ075449
MZ244504 iota_MZ244504
MZ554892.1 iota_MZ554892.1
MZ086728 iota_MZ086728
MZ180315 iota_MZ180315
MZ140704 iota_MZ140704
MZ023902 iota_MZ023902
MW932131 iota_MW932131
MZ194289 iota_MZ194289
MZ163456 iota_MZ163456
MZ225914 iota_MZ225914
MW985756 iota_MW985756
MZ148323 iota_MZ148323
MZ210528 iota_MZ210528
MZ015111 iota_MZ015111
MZ073222 iota_MZ073222
MW985833 iota_MW985833
MZ061127 iota_MZ061127
MZ283620 iota_MZ283620
MZ000469 iota_MZ000469
MZ072980 iota_MZ072980
MW945096 iota_MW945096
MZ061042 iota_MZ061042
MW968742 iota_MW968742
MW986681 iota_MW986681
MZ035823 iota_MZ035823
MZ311148 iota_MZ311148
MZ321152 iota_MZ321152
MZ132052 iota_MZ132052
MZ288681 iota_MZ288681
MW987269 iota_MW987269
MZ071678 iota_MZ071678
MW965108 iota_MW965108
MZ239351 iota_MZ239351
MZ229053 iota_MZ229053
MZ260766 iota_MZ260766
MZ039315 iota_MZ039315
MZ185723 iota_MZ185723
MZ333304 iota_MZ333304
MW929810 iota_MW929810
MZ371894 iota_MZ371894
MW944049 iota_MW944049
MZ035858 iota_MZ035858
MZ240337 iota_MZ240337
MZ358809 iota_MZ358809
MZ279232 iota_MZ279232
MZ354322 iota_MZ354322
MW844190 iota_MW844190
MZ030476 iota_MZ030476
MZ184971 iota_MZ184971
MZ498062.1 iota_MZ498062.1
MZ201786 iota_MZ201786
MZ153599 iota_MZ153599
MZ074265 iota_MZ074265
MZ307929 iota_MZ307929
MZ152525 iota_MZ152525
MZ252669 iota_MZ252669
MW986195 iota_MW986195
MZ253712 iota_MZ253712
MZ075451 iota_MZ075451
MW891725 iota_MW891725
MW986482 iota_MW986482
MZ252805 iota_MZ252805
MZ270318 iota_MZ270318
MW986060 iota_MW986060
MZ163566 iota_MZ163566
MZ212241 iota_MZ212241
MZ430805.1 iota_MZ430805.1
MZ006883 iota_MZ006883
MZ083817 iota_MZ083817
MZ291016 iota_MZ291016
MZ002559 iota_MZ002559
MZ167641 iota_MZ167641
MZ354486 iota_MZ354486
MZ032274 iota_MZ032274
MW976350 iota_MW976350
MW987104 iota_MW987104
MZ180990 iota_MZ180990
MW751632 iota_MW751632
MZ256287 iota_MZ256287
MW987238 iota_MW987238
MW902697 iota_MW902697
MZ021727 iota_MZ021727
MZ288179 iota_MZ288179
MW987208 iota_MW987208
MZ271771 iota_MZ271771
MZ253369 iota_MZ253369
MZ354419 iota_MZ354419
MW714409 iota_MW714409
MZ090476 iota_MZ090476
MW891054 iota_MW891054
MZ035935 iota_MZ035935
MZ215032 iota_MZ215032
MZ064695 iota_MZ064695
MZ499191.1 iota_MZ499191.1
MZ023956 iota_MZ023956
MZ212044 iota_MZ212044
MZ291424 iota_MZ291424
MZ012926 iota_MZ012926
MZ006390 iota_MZ006390
MZ179805 iota_MZ179805
MZ215251 iota_MZ215251
MW887951 iota_MW887951
MW966480 iota_MW966480
MZ025461 iota_MZ025461
MZ100502 iota_MZ100502
MZ180970 iota_MZ180970
MZ131460 iota_MZ131460
MZ225913 iota_MZ225913
MZ331153 iota_MZ331153
MW880657 iota_MW880657
MZ462774.1 iota_MZ462774.1
MW882032 iota_MW882032
MZ213052 iota_MZ213052
MW932597 iota_MW932597
MZ378231 iota_MZ378231
MZ048505 iota_MZ048505
MZ167622 iota_MZ167622
MZ432291.1 iota_MZ432291.1
MZ274541 iota_MZ274541
MW990919 iota_MW990919
MZ256715 iota_MZ256715
MZ371135 iota_MZ371135
MZ306065 iota_MZ306065
MZ360081 iota_MZ360081
MZ022740 iota_MZ022740
MZ023595 iota_MZ023595
MZ008771 iota_MZ008771
MZ210244 iota_MZ210244
MZ344618 iota_MZ344618
MW941560 iota_MW941560
MZ228003 iota_MZ228003
MW985022 iota_MW985022
MZ006530 iota_MZ006530
MZ253611 iota_MZ253611
MZ154420 iota_MZ154420
MZ145640 iota_MZ145640
MZ075389 iota_MZ075389
MZ231572 iota_MZ231572
MZ342571 iota_MZ342571
MZ371955 iota_MZ371955
MW966869 iota_MW966869
MZ084457 iota_MZ084457
MZ530952.1 iota_MZ530952.1
MZ084520 iota_MZ084520
MZ321165 iota_MZ321165
MZ140398 iota_MZ140398
MZ497775.1 iota_MZ497775.1
MW915301 iota_MW915301
MZ217282 iota_MZ217282
MZ296576 iota_MZ296576
MZ054935 iota_MZ054935
MZ140639 iota_MZ140639
MZ036057 iota_MZ036057
MZ132059 iota_MZ132059
MZ282434 iota_MZ282434
MZ375591 iota_MZ375591
MW987074 iota_MW987074
MZ290348 iota_MZ290348
MZ310357 iota_MZ310357
MZ372784 iota_MZ372784
MZ035673 iota_MZ035673
MZ022358 iota_MZ022358
MZ023836 iota_MZ023836
MZ000519 iota_MZ000519
MZ449057.1 iota_MZ449057.1
MW944798 iota_MW944798
MZ180835 iota_MZ180835
MZ167901 iota_MZ167901
MZ006954 iota_MZ006954
MZ101715 iota_MZ101715
MZ025528 iota_MZ025528
MZ212792 iota_MZ212792
MW959473 iota_MW959473
MZ048480 iota_MZ048480
MZ101381 iota_MZ101381
MZ179569 iota_MZ179569
MZ006553 iota_MZ006553
MZ271107 iota_MZ271107
MW904347 iota_MW904347
MZ257593 iota_MZ257593
MZ308163 iota_MZ308163
MZ037155 iota_MZ037155
MZ039116 iota_MZ039116
MZ225719 iota_MZ225719
MW751621 iota_MW751621
MZ279137 iota_MZ279137
MZ498828.1 iota_MZ498828.1
MZ036744 iota_MZ036744
MZ132359 iota_MZ132359
MZ029160 iota_MZ029160
MZ036255 iota_MZ036255
MW959418 iota_MW959418
MZ253346 iota_MZ253346
MZ237614 iota_MZ237614
MW943104 iota_MW943104
MZ237912 iota_MZ237912
MW942736 iota_MW942736
MZ195202 iota_MZ195202
MW941554 iota_MW941554
MW748274 iota_MW748274
MZ011884 iota_MZ011884
MZ257460 iota_MZ257460
MZ256271 iota_MZ256271
MZ499503.1 iota_MZ499503.1
MW975292 iota_MW975292
MW990507 iota_MW990507
MZ315256 iota_MZ315256
MZ028913 iota_MZ028913
MZ288199 iota_MZ288199
MZ065186 iota_MZ065186
MW863019 iota_MW863019
MZ188447 iota_MZ188447
MW976394 iota_MW976394
MZ024976 iota_MZ024976
MZ280548 iota_MZ280548
MZ037995 iota_MZ037995
MZ069192 iota_MZ069192
MW993281 iota_MW993281
MZ271515 iota_MZ271515
MZ455003.1 iota_MZ455003.1
MW944797 iota_MW944797
MZ253622 iota_MZ253622
MZ003901 iota_MZ003901
MZ074470 iota_MZ074470
MZ034981 iota_MZ034981
MZ131314 iota_MZ131314
MZ316936 iota_MZ316936
MW975704 iota_MW975704
MZ349676 iota_MZ349676
MZ337035 iota_MZ337035
MZ003910 iota_MZ003910
MZ163564 iota_MZ163564
MZ149620 iota_MZ149620
MZ371539 iota_MZ371539
MZ473537.1 iota_MZ473537.1
MZ499273.1 iota_MZ499273.1
MW943458 iota_MW943458
MZ037704 iota_MZ037704
MZ071578 iota_MZ071578
MZ101105 iota_MZ101105
MZ390099 iota_MZ390099
MZ061243 iota_MZ061243
MZ071136 iota_MZ071136
MW904334 iota_MW904334
MZ035163 iota_MZ035163
MZ194237 iota_MZ194237
MZ227829 iota_MZ227829
MZ132924 iota_MZ132924
MZ142223 iota_MZ142223
MZ308252 iota_MZ308252
MZ228395 iota_MZ228395
MZ279071 iota_MZ279071
MW897484 iota_MW897484
MW943563 iota_MW943563
MW986038 iota_MW986038
MZ167712 iota_MZ167712
MZ288192 iota_MZ288192
MZ451500.1 iota_MZ451500.1
MZ378578 iota_MZ378578
MW943101 iota_MW943101
MW975759 iota_MW975759
MW904426 iota_MW904426
MZ294079 iota_MZ294079
MZ060526 iota_MZ060526
MZ085774 iota_MZ085774
MW976554 iota_MW976554
MZ082870 iota_MZ082870
MZ257799 iota_MZ257799
MZ009427 iota_MZ009427
MZ164718 iota_MZ164718
MW891423 iota_MW891423
MW964948 iota_MW964948
MW984886 iota_MW984886
MZ179558 iota_MZ179558
MZ376221 iota_MZ376221
MZ056446 iota_MZ056446
MZ214176 iota_MZ214176
MW904403 iota_MW904403
MW975729 iota_MW975729
MZ038072 iota_MZ038072
MZ270322 iota_MZ270322
MZ086204 iota_MZ086204
MZ258141 iota_MZ258141
MZ023380 iota_MZ023380
MZ349170 iota_MZ349170
MZ498237.1 iota_MZ498237.1
MZ010915 iota_MZ010915
MZ213722 iota_MZ213722
MZ390051 iota_MZ390051
MZ082896 iota_MZ082896
MW890565 iota_MW890565
MZ075912 iota_MZ075912
MZ226118 iota_MZ226118
MZ363189 iota_MZ363189
MZ212021 iota_MZ212021
MW987162 iota_MW987162
MZ360528 iota_MZ360528
MZ455702.1 iota_MZ455702.1
MZ022990 iota_MZ022990
MZ181105 iota_MZ181105
MZ201964 iota_MZ201964
MZ034523 iota_MZ034523
MZ000663 iota_MZ000663
MZ281930 iota_MZ281930
MZ467889.1 iota_MZ467889.1
MZ075026 iota_MZ075026
MZ256991 iota_MZ256991
MW994702 iota_MW994702
MZ243453 iota_MZ243453
MZ071091 iota_MZ071091
MZ210399 iota_MZ210399
MZ143055 iota_MZ143055
MZ282567 iota_MZ282567
MZ401940.1 iota_MZ401940.1
MZ336945 iota_MZ336945
MZ037867 iota_MZ037867
MZ210141 iota_MZ210141
MW966292 iota_MW966292
MZ101128 iota_MZ101128
MW932053 iota_MW932053
MW975802 iota_MW975802
MZ086532 iota_MZ086532
MW939898 iota_MW939898
MZ184815 iota_MZ184815
MW976668 iota_MW976668
MW894541 iota_MW894541
MZ009812 iota_MZ009812
MZ188436 iota_MZ188436
MZ011399 iota_MZ011399
MW965920 iota_MW965920
MZ142513 iota_MZ142513
MW894201 iota_MW894201
MW944741 iota_MW944741
MZ321259 iota_MZ321259
MZ145876 iota_MZ145876
MZ237425 iota_MZ237425
MZ254161 iota_MZ254161
MZ432400.1 iota_MZ432400.1
MZ163464 iota_MZ163464
MZ257781 iota_MZ257781
MZ023975 iota_MZ023975
MZ271439 iota_MZ271439
MZ212529 iota_MZ212529
MZ100180 iota_MZ100180
MZ372058 iota_MZ372058
MZ498905.1 iota_MZ498905.1
MZ228743 iota_MZ228743
MZ269786 iota_MZ269786
MZ039497 iota_MZ039497
MZ071063 iota_MZ071063
MZ100285 iota_MZ100285
MW976512 iota_MW976512
MZ034996 iota_MZ034996
MZ342327 iota_MZ342327
MW904369 iota_MW904369
MZ071825 iota_MZ071825
MZ531259.1 iota_MZ531259.1
MZ184484 iota_MZ184484
MZ071074 iota_MZ071074
MZ163613 iota_MZ163613
MZ085475 iota_MZ085475
MZ141962 iota_MZ141962
MZ228629 iota_MZ228629
MZ500576.1 iota_MZ500576.1
MZ215306 iota_MZ215306
MZ283872 iota_MZ283872
MW969154 iota_MW969154
MZ279555 iota_MZ279555
MZ340816 iota_MZ340816
MZ015338 iota_MZ015338
MZ477911.1 iota_MZ477911.1
MZ280550 iota_MZ280550
MZ003003 iota_MZ003003
MZ278229 iota_MZ278229
MZ308026 iota_MZ308026
MZ071750 iota_MZ071750
MZ159077 iota_MZ159077
MW959972 iota_MW959972
MW975538 iota_MW975538
MZ023236 iota_MZ023236
MZ259025 iota_MZ259025
MZ354234 iota_MZ354234
MZ257393 iota_MZ257393
MW904262 iota_MW904262
MW938319 iota_MW938319
MZ320629 iota_MZ320629
MZ053946 iota_MZ053946
MZ358769 iota_MZ358769
MW901715 iota_MW901715
MZ012821 iota_MZ012821
MZ192002 iota_MZ192002
MW966648 iota_MW966648
MZ024636 iota_MZ024636
MZ498452.1 iota_MZ498452.1
MZ064809 iota_MZ064809
MW945013 iota_MW945013
MW968955 iota_MW968955
MZ187113 iota_MZ187113
MZ362482 iota_MZ362482
MZ049825 iota_MZ049825
MW943205 iota_MW943205
MZ180236 iota_MZ180236
MZ153975 iota_MZ153975
MZ022701 iota_MZ022701
MZ455472.1 iota_MZ455472.1
MZ030517 iota_MZ030517
MZ497729.1 iota_MZ497729.1
MZ006839 iota_MZ006839
MZ167601 iota_MZ167601
MZ316388 iota_MZ316388
MZ085407 iota_MZ085407
MZ371382 iota_MZ371382
MZ083458 iota_MZ083458
MZ213664 iota_MZ213664
MZ210118 iota_MZ210118
MZ475824.1 iota_MZ475824.1
MZ021835 iota_MZ021835
MZ035799 iota_MZ035799
MZ211871 iota_MZ211871
MZ212692 iota_MZ212692
MZ451809.1 iota_MZ451809.1
MW985357 iota_MW985357
MZ186002 iota_MZ186002
MZ283012 iota_MZ283012
MZ035158 iota_MZ035158
MZ207396 iota_MZ207396
MW763200 iota_MW763200
MW891418 iota_MW891418
MZ171110 iota_MZ171110
MZ281866 iota_MZ281866
MZ039161 iota_MZ039161
MZ358615 iota_MZ358615
MZ448678.1 iota_MZ448678.1
MW975281 iota_MW975281
MZ316320 iota_MZ316320
MZ371566 iota_MZ371566
MZ012038 iota_MZ012038
MZ046943 iota_MZ046943
MZ171107 iota_MZ171107
MZ390650 iota_MZ390650
MZ072010 iota_MZ072010
MZ154624 iota_MZ154624
MW975653 iota_MW975653
MZ275174 iota_MZ275174
MZ059295 iota_MZ059295
MZ238609 iota_MZ238609
MZ169584 iota_MZ169584
MZ282787 iota_MZ282787
MZ142541 iota_MZ142541
MZ499908.1 iota_MZ499908.1
MZ036212 iota_MZ036212
MZ149410 iota_MZ149410
MZ212450 iota_MZ212450
MZ315743 iota_MZ315743
MZ061524 iota_MZ061524
MZ331150 iota_MZ331150
MZ282746 iota_MZ282746
MZ296699 iota_MZ296699
MW890547 iota_MW890547
MW938145 iota_MW938145
MZ056225 iota_MZ056225
MZ164642 iota_MZ164642
MZ059808 iota_MZ059808
MZ217254 iota_MZ217254
MW986481 iota_MW986481
MZ001721 iota_MZ001721
MZ074197 iota_MZ074197
MW993452 iota_MW993452
MZ186208 iota_MZ186208
MW931166 iota_MW931166
MZ187277 iota_MZ187277
MZ360668 iota_MZ360668
MZ294627 iota_MZ294627
MW985185 iota_MW985185
MW986850 iota_MW986850
MZ167257 iota_MZ167257
MW890680 iota_MW890680
MZ133094 iota_MZ133094
MZ259384 iota_MZ259384
MZ013209 iota_MZ013209
MZ414656.1 iota_MZ414656.1
MZ215112 iota_MZ215112
MZ390252 iota_MZ390252
MZ038475 iota_MZ038475
MZ022842 iota_MZ022842
MZ048420 iota_MZ048420
MZ257295 iota_MZ257295
MZ180694 iota_MZ180694
MZ214449 iota_MZ214449
MZ055943 iota_MZ055943
MZ371215 iota_MZ371215
MW985577 iota_MW985577
MZ025492 iota_MZ025492
MZ186527 iota_MZ186527
MZ239703 iota_MZ239703
MZ283007 iota_MZ283007
MZ084329 iota_MZ084329
MW963447 iota_MW963447
MW897608 iota_MW897608
MZ257873 iota_MZ257873
MZ133059 iota_MZ133059
MZ228066 iota_MZ228066
MW994619 iota_MW994619
MZ499288.1 iota_MZ499288.1
MZ281523 iota_MZ281523
MW987332 iota_MW987332
MZ002083 iota_MZ002083
MZ179471 iota_MZ179471
MZ187528 iota_MZ187528
MZ316089 iota_MZ316089
MZ032286 iota_MZ032286
MZ035141 iota_MZ035141
MZ228932 iota_MZ228932
MZ498451.1 iota_MZ498451.1
MW994138 iota_MW994138
MW890554 iota_MW890554
MW890632 iota_MW890632
MZ270524 iota_MZ270524
MZ237284 iota_MZ237284
MZ282415 iota_MZ282415
MZ090313 iota_MZ090313
MZ258512 iota_MZ258512
MZ181359 iota_MZ181359
MZ282049 iota_MZ282049
MZ054919 iota_MZ054919
MW984805 iota_MW984805
MZ260293 iota_MZ260293
MW966095 iota_MW966095
MW985484 iota_MW985484
MZ074432 iota_MZ074432
MZ023522 iota_MZ023522
MW976339 iota_MW976339
MZ002747 iota_MZ002747
MZ039391 iota_MZ039391
MZ002594 iota_MZ002594
MZ035820 iota_MZ035820
MZ153734 iota_MZ153734
MZ024931 iota_MZ024931
MZ274517 iota_MZ274517
MW942623 iota_MW942623
MZ025622 iota_MZ025622
MZ257587 iota_MZ257587
MZ376529 iota_MZ376529
MZ163470 iota_MZ163470
MZ100873 iota_MZ100873
MZ290698 iota_MZ290698
MZ036972 iota_MZ036972
MW943047 iota_MW943047
MZ295981 iota_MZ295981
MZ084419 iota_MZ084419
MZ533241.1 iota_MZ533241.1
MW890688 iota_MW890688
MZ238481 iota_MZ238481
MZ228260 iota_MZ228260
MW964906 iota_MW964906
MZ431895.1 iota_MZ431895.1
MZ025104 iota_MZ025104
MZ378367 iota_MZ378367
MZ075328 iota_MZ075328
MZ212100 iota_MZ212100
MZ296636 iota_MZ296636
MZ317749 iota_MZ317749
MZ372187 iota_MZ372187
MZ257064 iota_MZ257064
MZ493576.1 iota_MZ493576.1
MW975899 iota_MW975899
MZ281553 iota_MZ281553
MZ072926 iota_MZ072926
MZ185957 iota_MZ185957
MZ281029 iota_MZ281029
MZ290516 iota_MZ290516
MW991106 iota_MW991106
MW941246 iota_MW941246
MZ097533 iota_MZ097533
MZ064799 iota_MZ064799
MZ163530 iota_MZ163530
MZ467958.1 iota_MZ467958.1
MZ376130 iota_MZ376130
MW723414 iota_MW723414
MZ053951 iota_MZ053951
MZ101541 iota_MZ101541
MZ131787 iota_MZ131787
MZ288677 iota_MZ288677
MZ366602 iota_MZ366602
MW891322 iota_MW891322
MW976688 iota_MW976688
MZ497748.1 iota_MZ497748.1
MZ076301 iota_MZ076301
MZ282708 iota_MZ282708
MW942230 iota_MW942230
MZ307612 iota_MZ307612
MZ152577 iota_MZ152577
MW890716 iota_MW890716
MZ535950.1 iota_MZ535950.1
MW966602 iota_MW966602
MZ236533 iota_MZ236533
MW989357 iota_MW989357
MW963468 iota_MW963468
MZ046936 iota_MZ046936
MZ506099.1 iota_MZ506099.1
MZ271518 iota_MZ271518
MZ185753 iota_MZ185753
MZ025090 iota_MZ025090
MZ058974 iota_MZ058974
MZ307663 iota_MZ307663
MZ164602 iota_MZ164602
MW891140 iota_MW891140
MW903196 iota_MW903196
MW963445 iota_MW963445
MW723428 iota_MW723428
MZ142422 iota_MZ142422
MZ163386 iota_MZ163386
MZ390247 iota_MZ390247
MW903392 iota_MW903392
MZ184633 iota_MZ184633
MZ090489 iota_MZ090489
MZ512597.1 iota_MZ512597.1
MW975021 iota_MW975021
MW986713 iota_MW986713
MZ294045 iota_MZ294045
MW931483 iota_MW931483
MZ390364 iota_MZ390364
MZ180793 iota_MZ180793
MZ253754 iota_MZ253754
MZ538384.1 iota_MZ538384.1
MZ090530 iota_MZ090530
MZ152543 iota_MZ152543
MZ270470 iota_MZ270470
MZ240062 iota_MZ240062
MW932543 iota_MW932543
MZ454986.1 iota_MZ454986.1
MZ187053 iota_MZ187053
MW976111 iota_MW976111
MZ278224 iota_MZ278224
MZ073834 iota_MZ073834
MZ307248 iota_MZ307248
MZ386592 iota_MZ386592
MZ142362 iota_MZ142362
MZ167708 iota_MZ167708
MZ163811 iota_MZ163811
MZ500348.1 iota_MZ500348.1
MW986370 iota_MW986370
MZ240215 iota_MZ240215
MZ316040 iota_MZ316040
MZ308278 iota_MZ308278
MW963457 iota_MW963457
MW976477 iota_MW976477
MZ233368 iota_MZ233368
MZ280421 iota_MZ280421
MZ228212 iota_MZ228212
MZ058172 iota_MZ058172
MW975305 iota_MW975305
MZ315854 iota_MZ315854
MZ060359 iota_MZ060359
MZ212290 iota_MZ212290
MZ357600 iota_MZ357600
MZ022983 iota_MZ022983
MZ032833 iota_MZ032833
MZ167984 iota_MZ167984
MZ291250 iota_MZ291250
MZ215385 iota_MZ215385
MZ237968 iota_MZ237968
MZ186662 iota_MZ186662
MZ279142 iota_MZ279142
MW993931 iota_MW993931
MZ072054 iota_MZ072054
MZ142764 iota_MZ142764
MZ398795.1 iota_MZ398795.1
MZ083569 iota_MZ083569
MW890715 iota_MW890715
MZ252288 iota_MZ252288
MZ005937 iota_MZ005937
MZ054922 iota_MZ054922
MZ153496 iota_MZ153496
MZ257589 iota_MZ257589
MZ171542 iota_MZ171542
MZ226198 iota_MZ226198
MZ331232 iota_MZ331232
MW986254 iota_MW986254
MZ181010 iota_MZ181010
MZ306495 iota_MZ306495
MZ030637 iota_MZ030637
MZ037287 iota_MZ037287
MZ086397 iota_MZ086397
MZ386383 iota_MZ386383
MZ236610 iota_MZ236610
MZ307947 iota_MZ307947
MZ390904 iota_MZ390904
MZ195382 iota_MZ195382
MZ531055.1 iota_MZ531055.1
MW932414 iota_MW932414
MZ152565 iota_MZ152565
MZ237766 iota_MZ237766
MZ012260 iota_MZ012260
MZ028054 iota_MZ028054
MZ083102 iota_MZ083102
MW976107 iota_MW976107
MZ143579 iota_MZ143579
MZ143705 iota_MZ143705
MZ316708 iota_MZ316708
MZ185126 iota_MZ185126
MZ498601.1 iota_MZ498601.1
MW975559 iota_MW975559
MZ037569 iota_MZ037569
MZ011853 iota_MZ011853
MZ071019 iota_MZ071019
MZ201503 iota_MZ201503
MW969269 iota_MW969269
MZ498121.1 iota_MZ498121.1
MZ012048 iota_MZ012048
MZ131100 iota_MZ131100
MW945138 iota_MW945138
MW880531 iota_MW880531
MZ210780 iota_MZ210780
MZ376760 iota_MZ376760
MW975479 iota_MW975479
MZ090266 iota_MZ090266
MZ438647.1 iota_MZ438647.1
MZ035364 iota_MZ035364
MW928296 iota_MW928296
MZ072392 iota_MZ072392
MZ164083 iota_MZ164083
MZ006624 iota_MZ006624
MZ342439 iota_MZ342439
MW724495 iota_MW724495
MZ084522 iota_MZ084522
MW938221 iota_MW938221
MZ022894 iota_MZ022894
MZ253980 iota_MZ253980
MZ257426 iota_MZ257426
MW945100 iota_MW945100
MZ211192 iota_MZ211192
MW903545 iota_MW903545
MZ133015 iota_MZ133015
MZ258154 iota_MZ258154
MZ179892 iota_MZ179892
MZ186824 iota_MZ186824
MZ294090 iota_MZ294090
MW976655 iota_MW976655
MW942104 iota_MW942104
MZ233255 iota_MZ233255
MW944693 iota_MW944693
MZ034250 iota_MZ034250
MZ023321 iota_MZ023321
MW941967 iota_MW941967
MZ186378 iota_MZ186378
MW751581 iota_MW751581
MZ316071 iota_MZ316071
MZ100943 iota_MZ100943
MW943963 iota_MW943963
MW985755 iota_MW985755
MZ201438 iota_MZ201438
MW931368 iota_MW931368
MZ202039 iota_MZ202039
MW968560 iota_MW968560
MW987097 iota_MW987097
MZ187738 iota_MZ187738
MZ192972 iota_MZ192972
MW888149 iota_MW888149
MW942662 iota_MW942662
MZ028052 iota_MZ028052
MW985558 iota_MW985558
MZ282080 iota_MZ282080
MZ414328.1 iota_MZ414328.1
MW959399 iota_MW959399
MZ009252 iota_MZ009252
MZ210657 iota_MZ210657
MZ535969.1 iota_MZ535969.1
MZ240462 iota_MZ240462
MZ085436 iota_MZ085436
MZ225795 iota_MZ225795
MZ315713 iota_MZ315713
MZ371241 iota_MZ371241
MZ022167 iota_MZ022167
MW891059 iota_MW891059
MW945056 iota_MW945056
MZ253380 iota_MZ253380
MZ283783 iota_MZ283783
MZ271399 iota_MZ271399
MW725747 iota_MW725747
MZ228785 iota_MZ228785
MW985316 iota_MW985316
MZ007070 iota_MZ007070
