MN908947 B.1_MN908947
MZ038364 B.1.2_MZ038364
MT533201 B.1_MT533201
MW709230 B.1.2_MW709230
MW958087 B.1.2_MW958087
MZ054945 B.1.1.519_MZ054945
MT956776 B.1.2_MT956776
MW709083 B.1.311_MW709083
MZ028906 B.1.243_MZ028906
MZ469240.1 B.1.240_MZ469240.1
MT997729 B.1_MT997729
MW191050 B.1_MW191050
MW720071 B.1.2_MW720071
MW894183 B.1.2_MW894183
MW669550 B.1.2_MW669550
MW707974 B.1.596_MW707974
MW972540 B.1.1.517_MW972540
MT811289 B.1.243_MT811289
MW750950 B.1.2_MW750950
MW944124 B.1_MW944124
MW777704 B.1.517_MW777704
MW821722 B.1.1.222_MW821722
MT635407 B.1.113_MT635407
MT704003 B.1.332_MT704003
MW155475 D.2_MW155475
MW828634 C.36_MW828634
MZ035865 B.1_MZ035865
MW731290 B.1.243_MW731290
MZ378161 B.1.509_MZ378161
MW206285 B.1.305_MW206285
MW564707 B.1_MW564707
MW190894 B.1_MW190894
MW153258 D.2_MW153258
MW454542 B.1.478_MW454542
MW708027 B.1.400_MW708027
MZ201525 B.1.623_MZ201525
MW719899 B.1.1.519_MW719899
MW643665 B.1.2_MW643665
MW844134 B.1.2_MW844134
MT740820 B.1.113_MT740820
MZ295105 B.1.2_MZ295105
MT929092 B.1_MT929092
MW902682 B.1.1.519_MW902682
MW645710 B.1_MW645710
MT972247 D.3_MT972247
MZ151624 B.1.596_MZ151624
MW638571 B.1.596_MW638571
MZ180192 R.1_MZ180192
MW669065 B.1.2_MW669065
MZ438634.1 B.1.234_MZ438634.1
MT451129 A.1_MT451129
MT921166 B.1_MT921166
MW941776 B.1_MW941776
MT757122 B.1.170_MT757122
MW585998 B.1.1.337_MW585998
MW848230 B.1.2_MW848230
MZ296248 B.1.1.519_MZ296248
MW788794 B.1.2_MW788794
MW156484 D.2_MW156484
MW929651 B.1.234_MW929651
MZ404431.1 B.1.2_MZ404431.1
MW702873 B.1.2_MW702873
MW804846 B.1.2_MW804846
MW520938 B.1.375_MW520938
MW808237 B.1.2_MW808237
MW848065 B.1.2_MW848065
MW617748 B.1_MW617748
MW720480 B.1.517_MW720480
MW708743 B.1.2_MW708743
MW808535 B.1.1.519_MW808535
MW868661 B.1.2_MW868661
MT997965 B.1.595_MT997965
MT966163 B.1.595.1_MT966163
MW868908 B.1.2_MW868908
MW928349 B.1.521_MW928349
MW156218 D.2_MW156218
MW206336 B.1.2_MW206336
MT358709 B.30_MT358709
MT969439 D.2_MT969439
MW838452 B.1.311_MW838452
MW635067 B.1.2_MW635067
MW693944 B.1.2_MW693944
MZ260397 B.1.2_MZ260397
MW191332 B_MW191332
MZ151991 B.1.1.318_MZ151991
MZ100987 R.1_MZ100987
MT913063 A.1_MT913063
MT873237 B.1_MT873237
MW777527 B.1.596_MW777527
MW944644 B.1.2_MW944644
MZ505806.1 B.1.240_MZ505806.1
MW406574 B.1.2_MW406574
MW778927 B.1.110.3_MW778927
MZ022981 B.1.2_MZ022981
MW966485 B.1.2_MW966485
MW923923 B.1.265_MW923923
MW849113 B.1.1.222_MW849113
MT642123 B.1.1.291_MT642123
MW976618 B.1.575_MW976618
MT775829 B.1.1_MT775829
MW636474 B.1_MW636474
MW550140 B.1.2_MW550140
MW795945 B.1.596_MW795945
MZ214040 B.1.2_MZ214040
MZ520081.1 B.1.2_MZ520081.1
MZ126800 A.23.1_MZ126800
MW778611 B.1.1.207_MW778611
MZ295066 B.1.503_MZ295066
MT810575 B.1_MT810575
MZ448871.1 B.1.2_MZ448871.1
MW277579 D.2_MW277579
MW904203 B.1.2_MW904203
MZ030583 B.1.1.519_MZ030583
MZ499253.1 B.1.2_MZ499253.1
MZ075332 B.1.2_MZ075332
MW715077 B.1.1.389_MW715077
MW190320 B.1_MW190320
MW783361 B.1.2_MW783361
MW070113 B.1.243_MW070113
MT627750 A.1_MT627750
MW796785 B.1.2_MW796785
MW206524 A.3_MW206524
MZ232078 B.1.2_MZ232078
MW643461 B.1.2_MW643461
MW586557 B.1.2_MW586557
MW550415 B.1.577_MW550415
MW705566 B.1.1.316_MW705566
MW228221 B.1.369_MW228221
MW942712 B.1.2_MW942712
MW894047 B.1.2_MW894047
MW907470 B.1.2_MW907470
MW190593 A.1_MW190593
MW669460 B.1.2_MW669460
MW834709 B.1.2_MW834709
MW565831 B.1.596_MW565831
MW636472 B.1.517_MW636472
MZ083325 B.1.596_MZ083325
MW030236 C.14_MW030236
MZ074451 B.1.2_MZ074451
MW777513 B.1.1.231_MW777513
MT520411 B.1.369_MT520411
MW155212 D.2_MW155212
MW640164 B.1.1.519_MW640164
MW974374 B.1.232_MW974374
MT246481 B.1_MT246481
MW816170 B.1.2_MW816170
MW190762 B.1.1_MW190762
MW975945 B.1.575_MW975945
MT325580 B.1_MT325580
MT969990 D.2_MT969990
MW816210 B.1.1.519_MW816210
MT911798 B.1_MT911798
MZ203069 B.1.1.222_MZ203069
MW974093 B.1.1.222_MW974093
MW782922 B.1.596_MW782922
MZ500584.1 B.1.2_MZ500584.1
MT972783 D.3_MT972783
MT886309 B.1_MT886309
MT326041 A.1_MT326041
MW156609 D.2_MW156609
MW485413 B.1.596_MW485413
MT628274 B.1.453_MT628274
MW550118 B.1.2_MW550118
MW780175 B.1.243_MW780175
MT614524 B.1.1_MT614524
MW637115 B.1.2_MW637115
MT370966 B.1_MT370966
MW030252 C.32_MW030252
MW985021 B.1.582_MW985021
MT581415 B.1_MT581415
MZ312963 B.1.2_MZ312963
MT627216 A.1_MT627216
MZ146292 B.1.1.519_MZ146292
MT350280 A.1_MT350280
MW181584 B.1.509_MW181584
MW190876 B.1.314_MW190876
MW156735 D.2_MW156735
MW640453 B.1.541_MW640453
MZ245675 B.1.1.519_MZ245675
MW932247 B.1.429_MW932247
MW374923 B.1.2_MW374923
MZ469203.1 B.1.2_MZ469203.1
MZ240154 B.1.1.519_MZ240154
MW486171 B.1_MW486171
MZ270707 B.1.2_MZ270707
MT846537 B.1.139_MT846537
MW181590 B.1.2_MW181590
MZ089628 B.1.1.519_MZ089628
MZ168052 B.1.1.519_MZ168052
MW883190 B.1_MW883190
MW593726 B.1.371_MW593726
MW990867 A.2.5_MW990867
MT731743 B.1.1_MT731743
MZ257335 B.1.2_MZ257335
MW190776 B.1_MW190776
MZ192025 B.1.241_MZ192025
MT371008 B.1_MT371008
MW030249 C.4_MW030249
MW816612 B.1.1.316_MW816612
MW075801 B.1_MW075801
MW818121 B.1.2_MW818121
MW595950 B.1.1.306_MW595950
MW973102 B.1.2_MW973102
MW777028 B.1.349_MW777028
MT800890 B.1.1_MT800890
MZ239304 B.1.1.519_MZ239304
MT913061 A.1_MT913061
MZ414295.1 B.1.1.39_MZ414295.1
MZ321001 B.1.1.519_MZ321001
MT578016 B.1.1.25_MT578016
MW885921 B.1.590_MW885921
MW938192 B.1.2_MW938192
MW136840 B.1.382_MW136840
MW665574 B.1.2_MW665574
MW772177 B.1.2_MW772177
MZ471604.1 B.1.2_MZ471604.1
MW808409 B.1_MW808409
MT937818 B.1.110.3_MT937818
MW669004 B.1.2_MW669004
MW562729 B.1.400_MW562729
MW812868 B.1.1.519_MW812868
MZ233853 B.1.1.519_MZ233853
MW891626 B.1.2_MW891626
MZ500532.1 B.1.2_MZ500532.1
MW665849 B.1.349_MW665849
MW681144 B.1.517_MW681144
MZ470841.1 B.1.2_MZ470841.1
MW808468 B.1.1.519_MW808468
MZ003374 B.1.2_MZ003374
MW454709 B.1.2_MW454709
MT811362 B.1_MT811362
MW883311 B.1_MW883311
MZ006473 B.1.1.519_MZ006473
MW491245 B.1.36.16_MW491245
MT972045 D.2_MT972045
MT873206 A.2_MT873206
MZ056444 B.1.2_MZ056444
MW524962 B.1.2_MW524962
MW930416 B.1.2_MW930416
MW586480 B.1.2_MW586480
MW763628 B.1.2_MW763628
MW940515 B.1.451_MW940515
MW705589 B.1.2_MW705589
MW705346 B.1.2_MW705346
MT434785 B_MT434785
MW973963 B.1.232_MW973963
MT252749 A.1_MT252749
MZ239191 B.1.1.519_MZ239191
MW586475 B.1.2_MW586475
MW206096 B.1_MW206096
MW155120 D.2_MW155120
MT739475 B.1_MT739475
MW958150 B.1.243_MW958150
MW065055 B.1_MW065055
MW868605 B.1.596_MW868605
MW923402 B.1.2_MW923402
MW190660 A.1_MW190660
MW703439 B.1.1.207_MW703439
MW944520 B.1.2_MW944520
MT810672 B.1_MT810672
MW590345 B.1_MW590345
MZ022646 R.1_MZ022646
MW666609 B.1_MW666609
MW420801 B.1.426_MW420801
MT911807 B.1_MT911807
MT810861 B.1.243_MT810861
MW550395 B.1.2_MW550395
MW868909 B.1.596_MW868909
MT628052 B.1.371_MT628052
MZ009805 B.1.2_MZ009805
MZ448856.1 B.1.243_MZ448856.1
MW593432 B.1.341_MW593432
MW643747 B.1.2_MW643747
MW286721 B.1_MW286721
MW891264 B.1.2_MW891264
MZ075125 B.1.243_MZ075125
MW666744 B.1.240_MW666744
MW693955 B.1.2_MW693955
MW708509 B.1_MW708509
MW865425 B.1.596_MW865425
MW206502 B.1_MW206502
MW967800 B.1_MW967800
MW495884 B.1.369_MW495884
MW780496 B.1.420_MW780496
MW581643 B.1.2_MW581643
MZ082907 B.1.111_MZ082907
MZ505888.1 A.1_MZ505888.1
MW850727 B.1.2_MW850727
MW643784 B.1.1.519_MW643784
MW903783 B.1.561_MW903783
MW792819 B.1.2_MW792819
MW523838 B.1.2_MW523838
MW173414 B.1.1_MW173414
MW667296 B.1.2_MW667296
MW669542 B.1.232_MW669542
MW974592 B.1.576_MW974592
MZ434732.1 B.1.2_MZ434732.1
MW778770 B.1.2_MW778770
MW064399 B.1_MW064399
MZ332186 B.1.91_MZ332186
MW864389 B.1.2_MW864389
MW888181 B.1.349_MW888181
MW136830 B.1_MW136830
MW804957 B.1.2_MW804957
MW849140 B.1.2_MW849140
MZ065096 B.1.596_MZ065096
MW001270 B.1.369_MW001270
MW483115 B.1.2_MW483115
MW779911 B.1.234_MW779911
MZ471592.1 B.1.2_MZ471592.1
MT873133 B.1_MT873133
MT252806 A.1_MT252806
MW629152 B.1.396_MW629152
MW634357 B.1.409_MW634357
MW941867 B.1.575_MW941867
MT558694 B.1.1.231_MT558694
MZ430587.1 B.1_MZ430587.1
MT609567 B.1.494_MT609567
MT766908 B.1.1_MT766908
MW701953 B.1.232_MW701953
MZ416216.1 B.1_MZ416216.1
MT438750 B.19_MT438750
MT642215 B.1.1.26_MT642215
MW635188 B.1.2_MW635188
MZ238225 B.1.1.348_MZ238225
MT971673 D.2_MT971673
MW943287 B.1.2_MW943287
MW767226 B.1.2_MW767226
MW067805 B.1.1.135_MW067805
MT325635 B.1_MT325635
MZ233457 B.1.234_MZ233457
MW693902 B.1.2_MW693902
MT873472 B.1_MT873472
MW590372 B.1.2_MW590372
MT451210 B.1.23_MT451210
MZ313074 B.1.2_MZ313074
MZ494573.1 B.1.1.291_MZ494573.1
MW687337 B.1.1.316_MW687337
MZ438660.1 B.1.243_MZ438660.1
MW389621 B.1.243_MW389621
MW154888 D.2_MW154888
MW559198 B.1.2_MW559198
MW593253 A.1_MW593253
MW637129 B.1.243_MW637129
MW276403 B.1.243_MW276403
MW988841 B.1.2_MW988841
MW741665 B.1.2_MW741665
MT050416 A_MT050416
MT827251 B.1.369_MT827251
MW665826 B.1.517_MW665826
MZ433576.1 B.1.289_MZ433576.1
MW643854 B.1.2_MW643854
MZ260079 B.1.2_MZ260079
MW528796 B.1.609_MW528796
MW928386 B.1.2_MW928386
MZ430562.1 B.1_MZ430562.1
MW681317 B.1.596_MW681317
MZ257396 B.1.2_MZ257396
MW837503 B.1.243_MW837503
MW153375 D.2_MW153375
MW868553 B.1.2_MW868553
MW973567 B.1.2_MW973567
MW667123 B.1.2_MW667123
MW467471 B_MW467471
MT806781 B.1_MT806781
MW708476 B.1.2_MW708476
MW365021 B.1.110_MW365021
MT576046 B.1.210_MT576046
MT246468 A.1_MT246468
MW813293 B.1.2_MW813293
MW184886 D.2_MW184886
MZ030302 B.1.2_MZ030302
MW739761 B.1.2_MW739761
MT704051 B.1.108_MT704051
MZ075403 B.1.1.519_MZ075403
MW593630 B.1.1.291_MW593630
MT527184 B.1_MT527184
MT843315 B.1_MT843315
MW517338 B.1.2_MW517338
MW636470 B.1.243_MW636470
MZ258806 B.1.568_MZ258806
MT834660 B.1_MT834660
MW994068 B.1.575_MW994068
MW887961 B.1.2_MW887961
MT972280 D.3_MT972280
MW735314 A.2.5_MW735314
MT810998 B.1.267_MT810998
MW708879 B.1.243_MW708879
MT656257 B.1.1.25_MT656257
MW758810 B.1.2_MW758810
MT706221 B.1_MT706221
MZ465669.1 B.1.240_MZ465669.1
MZ239055 B.1.429_MZ239055
MT642207 B.1.1.26_MT642207
MW153536 D.2_MW153536
MZ238989 B.1.429_MZ238989
MW734875 B.1.2_MW734875
MT370964 B.1_MT370964
MW629168 B.1.2_MW629168
MT810607 B.1_MT810607
MT608648 B.1.210_MT608648
MZ498812.1 B.1.1.420_MZ498812.1
MW519763 B.1.2_MW519763
MT997690 B.1.240_MT997690
MW943523 B.1.2_MW943523
MW969486 B.1.596_MW969486
MW942050 B.1.2_MW942050
MW809279 B.1.1_MW809279
MW707290 B.1.2_MW707290
MW640097 B.1.2_MW640097
MT967909 A.1_MT967909
MW701114 B.1.243_MW701114
MW490730 B.1.2_MW490730
MW406738 B.1.595_MW406738
MZ494116.1 B.1.371_MZ494116.1
MZ500752.1 B.1.2_MZ500752.1
MZ233624 B.1.2_MZ233624
MW804862 B.1.1.316_MW804862
MT632895 A.1_MT632895
MT607250 B.1.210_MT607250
MW702002 B.1.232_MW702002
MW707334 B.1.2_MW707334
MW825410 B.1.596_MW825410
MZ434902.1 B.1.1.333_MZ434902.1
MZ284166 B.1.1.519_MZ284166
MW763531 B.1_MW763531
MW708157 B.1.596_MW708157
MW550021 B.1.2_MW550021
MW365014 B.1.1_MW365014
MW749303 B.1.2_MW749303
MW864302 B.1.2_MW864302
MW666329 B.1.2_MW666329
MT509656 B.1.143_MT509656
MW941691 B.1.2_MW941691
MW586488 B.1.2_MW586488
MZ373646 B.1.2_MZ373646
MZ246497 B.1.1.519_MZ246497
MZ260294 B.1.2_MZ260294
MW764053 B.1.1.519_MW764053
MZ171770 B.1.596_MZ171770
MW277078 D.2_MW277078
MW031044 B.1.564_MW031044
MT970691 D.2_MT970691
MW228259 B.1.305_MW228259
MW706610 B.1.2_MW706610
MW763701 B.1.2_MW763701
MZ488060.1 B.1.108_MZ488060.1
MW638657 B.1.240_MW638657
MW930404 B.1.234_MW930404
MW592849 B.1.243_MW592849
MW153600 D.2_MW153600
MT821605 A.1_MT821605
MW561245 B.1_MW561245
MZ500092.1 R.1_MZ500092.1
MW052649 B.40_MW052649
MW942077 B.1.2_MW942077
MW777701 B.1.568_MW777701
MT969404 B.1.1.136_MT969404
MZ362438 B.1.1.318_MZ362438
MW136862 B.1_MW136862
MW486292 B.1.2_MW486292
MW593626 B.1_MW593626
MT407655 B.40_MT407655
MT581429 B.1_MT581429
MZ504003.1 A.1_MZ504003.1
MT642266 B.1.1.26_MT642266
MT520479 B.1_MT520479
MW191479 B.1_MW191479
MZ414570.1 B.1.406_MZ414570.1
MT738101 B.1.1.33_MT738101
MZ473177.1 B.1.516_MZ473177.1
MW636391 B.1.2_MW636391
MW240727 B.1.234_MW240727
MW640137 B.1.234_MW640137
MZ498964.1 B.1.2_MZ498964.1
MZ258695 B.1.1.519_MZ258695
MW974189 B.1.1.205_MW974189
MW943533 B.1.2_MW943533
MT358646 B.1_MT358646
MW420115 B.1.370_MW420115
MW966459 B.1.2_MW966459
MW699207 B.1.2_MW699207
MW708571 B.1.2_MW708571
MZ148596 B.1.1.25_MZ148596
MW485327 B.1.375_MW485327
MW928179 B.1.2_MW928179
MW706034 B.1.1.207_MW706034
MW825790 B.1.596_MW825790
MT642257 B.1.124_MT642257
MW850717 B.1.2_MW850717
MW808590 B.1.2_MW808590
MZ158891 B.1.2_MZ158891
MZ438620.1 B.1.234_MZ438620.1
MT451361 B.1_MT451361
MW925162 B.1.240_MW925162
MT451052 B.1_MT451052
MW974998 B.1.575_MW974998
MW593806 A.1_MW593806
MW778636 B.1.2_MW778636
MW993453 B.1.2_MW993453
MW420434 B.1.382_MW420434
MZ313102 B.1_MZ313102
MW454665 B.1.509_MW454665
MW669215 B.1.595_MW669215
MW967559 B.1.2_MW967559
MZ238958 B.1.429_MZ238958
MW153283 D.3_MW153283
MW406520 B.1.2_MW406520
MZ377616 B.1.1.519_MZ377616
MW406576 B.1.577_MW406576
MZ332275 B.1.1.1_MZ332275
MT873189 B.1_MT873189
MW941092 B.1.1.519_MW941092
MW332752 B.1.564_MW332752
MZ490455.1 B.1.369_MZ490455.1
MW411637 B.1.240_MW411637
MW454745 B.1.2_MW454745
MW001279 B.1.369_MW001279
MZ003850 B.1.2_MZ003850
MW185130 D.2_MW185130
MW064984 B.1_MW064984
MW891113 B.1.1.519_MW891113
MZ332292 B.1_MZ332292
MZ030278 B.1.1.519_MZ030278
MW246607 B.1.596_MW246607
MZ279502 B.1.1.519_MZ279502
MT846606 B.1.240_MT846606
MZ239011 B.1.429_MZ239011
MW586835 B.1.2_MW586835
MW944521 B.1.596_MW944521
MW870748 B.1.2_MW870748
MW876935 B.1.2_MW876935
MW629363 B.1.2_MW629363
MT971048 D.2_MT971048
MW781859 B.1.243_MW781859
MZ008849 B.1.2_MZ008849
MZ211464 B.1.2_MZ211464
MW778892 B.1.2_MW778892
MT956801 B.1.240_MT956801
MW645712 B.1_MW645712
MW974171 B.1.232_MW974171
MZ257805 B.1.623_MZ257805
MW944629 B.1.575_MW944629
MW365029 B.1.1_MW365029
MW923472 B.1.2_MW923472
MW064463 B.1_MW064463
MZ373795 B.1.1_MZ373795
MW777756 B.1.2_MW777756
MT811355 B.1_MT811355
MW942977 B.1.1.231_MW942977
MW592870 B.1.2_MW592870
MW944737 B.1.2_MW944737
MW593838 B.1.371_MW593838
MW505174 B.1.2_MW505174
MW634243 B.1.609_MW634243
MW592812 B.1.2_MW592812
MW988318 B.1.2_MW988318
MT873148 B.1_MT873148
MT971896 D.2_MT971896
MW847660 B.1.2_MW847660
MW777128 B.1.2_MW777128
MW817004 B.1.1.519_MW817004
MW065188 B.1_MW065188
MW665801 B.1.2_MW665801
MT631808 B.1.320_MT631808
MZ450572.1 B.1.240_MZ450572.1
MW495189 B.1.1.304_MW495189
MW779062 B.1.311_MW779062
MW974218 B.1.232_MW974218
MW634661 B.1.2_MW634661
MW636361 B.1.2_MW636361
MW783004 B.1.2_MW783004
MT293163 A.1_MT293163
MT706447 B.1.162_MT706447
MW070089 B.1_MW070089
MW943535 B.1.2_MW943535
MW155541 D.2_MW155541
MW734974 B.1.1.519_MW734974
MW668979 B.1.2_MW668979
MZ444396.1 B.1.337_MZ444396.1
MT972386 D.2_MT972386
MT451447 B.4.5_MT451447
MZ022336 B.1.2_MZ022336
MW972908 B.1.243_MW972908
MT821626 B.1.1.291_MT821626
MW064753 B.1.119_MW064753
MZ231597 B.1.1_MZ231597
MW672826 B.1.2_MW672826
MW668877 B.1.596_MW668877
MW704491 B.1.2_MW704491
MZ498071.1 B.1.2_MZ498071.1
MW733194 B.1.2_MW733194
MW495868 B.1.311_MW495868
MZ036434 B.1.623_MZ036434
MW155182 D.2_MW155182
MW596061 B.1.232_MW596061
MZ015512 B.1.2_MZ015512
MW864499 B.1.2_MW864499
MW779718 B.1.2_MW779718
MW733734 B.1.337_MW733734
MZ202474 B.1.400_MZ202474
MZ500262.1 B.1.377_MZ500262.1
MW065005 B.1_MW065005
MW763484 B.1.596_MW763484
MW365251 N.4_MW365251
MW491084 B.1.582_MW491084
MT482147 B.1_MT482147
MZ048709 B.1.1.519_MZ048709
MW562712 B.1.2_MW562712
MW156475 D.2_MW156475
MW779219 B.1.2_MW779219
MW581621 B.1.1.207_MW581621
MW870618 B.1.1.519_MW870618
MW758852 B.1.1.1_MW758852
MW993348 B.1.2_MW993348
MW942642 B.1.2_MW942642
MW155311 D.2_MW155311
MW903846 B.1.2_MW903846
MT609594 B.1.503_MT609594
MW483285 B.1_MW483285
MW705672 B.1.596_MW705672
MW629485 B.1.596_MW629485
MT973176 D.2_MT973176
MW070092 B.1.558_MW070092
MW737842 B.1.1.50_MW737842
MW406635 B.1.2_MW406635
MT632585 A.1_MT632585
MT642107 B.1.1.26_MT642107
MW638572 B.1.2_MW638572
MT731936 B.1.1.25_MT731936
MW635069 B.1.2_MW635069
MW891452 B.1.596_MW891452
MZ497209.1 B.1.369_MZ497209.1
MW734434 B.1.2_MW734434
MT320891 B.4_MT320891
MZ505785.1 B.1.371_MZ505785.1
MW667449 B.1.2_MW667449
MW636735 B.1.2_MW636735
MZ059303 B.1.2_MZ059303
MZ373911 B.1.199_MZ373911
MZ058849 B.1.2_MZ058849
MW680572 B.1.2_MW680572
MT952695 B.1_MT952695
MW942566 B.1.2_MW942566
MW928285 B.1.2_MW928285
MW594061 B.1.596_MW594061
MW771999 B.1.2_MW771999
MW315214 B.1.558_MW315214
MW276775 D.2_MW276775
MZ233817 B.1.2_MZ233817
MZ360498 B.1.2_MZ360498
MT614543 B.1.1_MT614543
MW720231 B.1.2_MW720231
MW065112 B.1.166_MW065112
MT994393 B.1.371_MT994393
MW808661 B.1.2_MW808661
MW566229 B.1.2_MW566229
MW523789 B.1_MW523789
MW782903 B.1.2_MW782903
MW490729 B.1.280_MW490729
MW738857 B.1.336_MW738857
MW944529 B.1.2_MW944529
MW067729 B.1.503_MW067729
MZ378186 B.1.189_MZ378186
MW728422 B.1.596_MW728422
MZ504094.1 B.1_MZ504094.1
MW696658 B.1.234_MW696658
MW942304 B.1.2_MW942304
MT706302 B_MT706302
MW969263 B.1_MW969263
MW925590 B.1.311_MW925590
MW778681 B.1.2_MW778681
MT482139 B.1.332_MT482139
MW804929 B.1.2_MW804929
MW190303 A.1_MW190303
MW560820 B.1.1.519_MW560820
MW941608 B.1.2_MW941608
MZ202422 B.1.1.519_MZ202422
MW583317 B.1.409_MW583317
MT520418 B.1_MT520418
MW780469 B.1_MW780469
MT972495 D.2_MT972495
MW766659 B.1.561_MW766659
MW698073 B.1.2_MW698073
MW638568 B.1.324_MW638568
MW681167 B.1_MW681167
MW634890 B.1.2_MW634890
MW923905 B.1.2_MW923905
MW930597 B.1.544_MW930597
MW707929 B.1.2_MW707929
MT973150 D.2_MT973150
MT947588 B.1_MT947588
MT972150 D.3_MT972150
MW975045 B.1.605_MW975045
MW942350 B.1.2_MW942350
MW728562 B.1.2_MW728562
MW592798 B.1.564_MW592798
MW700335 B.1.2_MW700335
MW616846 B.1.258.23_MW616846
MW777290 B.1.2_MW777290
MW855122 B.1.234_MW855122
MW975378 B.1.575_MW975378
MZ164851 B.1.1.348_MZ164851
MW943507 B.1.429_MW943507
MW923044 B.1.561_MW923044
MW855734 B.1.2_MW855734
MW864535 B.1.2_MW864535
MW706635 B.1.243_MW706635
MW681355 B.1.234_MW681355
MW532093 B.1.1.25_MW532093
MW943357 B.1.2_MW943357
MW634154 B.1.2_MW634154
MW699187 B.1.2_MW699187
MW191023 B.1_MW191023
MZ224367 B.1.2_MZ224367
MW636715 B.1.1.486_MW636715
MW903826 B.1.2_MW903826
MW155168 D.2_MW155168
MW519700 B.1.2_MW519700
MW930638 B.1.2_MW930638
MZ500342.1 B.1.2_MZ500342.1
MW640025 B.1.234_MW640025
MT873382 B.1_MT873382
MW864335 B.1.2_MW864335
MT873456 B.1.1.67_MT873456
MT811407 B.1.243_MT811407
MW891276 B.1.243_MW891276
MW564796 B.1.2_MW564796
MW156175 D.2_MW156175
MW064508 B.1_MW064508
MW191083 B.1.1_MW191083
MT772498 B.1.139_MT772498
MW778989 B.1.2_MW778989
MW758694 B.1.243_MW758694
MW586303 B.1.2_MW586303
MZ038294 B.1.596_MZ038294
MT811220 B.1_MT811220
MT811411 B.1_MT811411
MW848019 B.1.1.519_MW848019
MW646597 B.1.2_MW646597
MW454629 B.1.433_MW454629
MW941296 B.1.2_MW941296
MW921664 B.1_MW921664
MZ492621.1 B.1_MZ492621.1
MT670019 B.1_MT670019
MT971528 D.2_MT971528
MW731770 B.1.2_MW731770
MW638769 B.1.561_MW638769
MW925536 B.1.2_MW925536
MW486197 B.1.2_MW486197
MW763792 B.1.2_MW763792
MZ008694 B.1.2_MZ008694
MW550036 B.1.1.222_MW550036
MZ164946 B.1.561_MZ164946
MW155503 D.2_MW155503
MW708804 B.1.2_MW708804
MW708527 B.1.2_MW708527
MZ363048 B.1_MZ363048
MW763139 B.1.2_MW763139
MW891445 B.1.2_MW891445
MW454599 B.1.1.192_MW454599
MW217341 B.1.2_MW217341
MZ471827.1 B.1.2_MZ471827.1
MT322394 A.1_MT322394
MT929097 B.1.369_MT929097
MW669770 B.1.2_MW669770
MZ189541 B.1.2_MZ189541
MW640522 B.1.243_MW640522
MW550146 B.1.565_MW550146
MZ499426.1 B.1.2_MZ499426.1
MW885879 B.1_MW885879
MT873167 B.1.369_MT873167
MW374936 B.1.1.453_MW374936
MT958225 B.1.241_MT958225
MW191199 B.1.320_MW191199
MT791963 B.1_MT791963
MZ213876 A.23.1_MZ213876
MZ394784.1 B.1.2_MZ394784.1
MW064989 B.1_MW064989
MW888175 B.1.2_MW888175
MW665689 B.1.1.519_MW665689
MW749982 B.1.575_MW749982
MW792652 B.1.2_MW792652
MT971307 D.2_MT971307
MW585926 B.1.2_MW585926
MW763637 B.1.243_MW763637
MW943271 B.1.2_MW943271
MT451103 B.1.13_MT451103
MW966779 B.1.2_MW966779
MW942057 B.1.1.222_MW942057
MZ544882.1 B.1.1.33_MZ544882.1
MW681230 B.1.2_MW681230
MW669674 B.1.2_MW669674
MW191388 A.1_MW191388
MW709177 B.1.110.3_MW709177
MT973267 D.2_MT973267
MZ471882.1 B.1.2_MZ471882.1
MW634200 B.1.234_MW634200
MT946884 B.1.181_MT946884
MW763756 B.1.1.322_MW763756
MZ259050 B.1.2_MZ259050
MW708411 B.1.2_MW708411
MW593855 B.1_MW593855
MW861634 B.1.2_MW861634
MZ312953 B.1.568_MZ312953
MW490908 B.1.1.135_MW490908
MT642358 B.1.124_MT642358
MW783202 B.1.2_MW783202
MT706342 B_MT706342
MW944867 B.1_MW944867
MW929669 B.1.2_MW929669
MT627235 A.1_MT627235
MT429190 B.1_MT429190
MW805088 B.1.243_MW805088
MW191298 B.1_MW191298
MW880160 B.1.2_MW880160
MZ457470.1 B.1.1.519_MZ457470.1
MZ008678 B.1.400_MZ008678
MZ342231 B.1.1.519_MZ342231
MW420155 B.1.425_MW420155
MW696269 B.1.596_MW696269
MW681037 B.1.2_MW681037
MW779233 B.1.2_MW779233
MW544906 B.1.1.519_MW544906
MW190220 B.1.566_MW190220
MW703161 B.1.2_MW703161
MW565660 B.1.243_MW565660
MW763532 B.1.596_MW763532
MW730932 B.1.2_MW730932
MZ471514.1 B.1.2_MZ471514.1
MW420687 B.1.2_MW420687
MW976052 B.1.575_MW976052
MW880451 R.1_MW880451
MW783020 B.1.2_MW783020
MZ349404 B.1.2_MZ349404
MZ377627 B.1.240_MZ377627
MW035538 B.1.1_MW035538
MT937808 B.1_MT937808
MW631904 B.1.596_MW631904
MW155140 D.2_MW155140
MW064549 B.1.319_MW064549
MW700344 B.1.2_MW700344
MW928318 B.1.2_MW928318
MZ160439 B.1.2_MZ160439
MW796940 B.1.1.519_MW796940
MW518247 B.1.375_MW518247
MW993476 R.1_MW993476
MW891074 B.1.2_MW891074
MW206534 B.1_MW206534
MZ187564 B.1.2_MZ187564
MW968618 B.1.111_MW968618
MZ360510 B.1.2_MZ360510
MT971591 D.2_MT971591
MW420549 B.1.425_MW420549
