	V1	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
586	MT520540	SARS-CoV-2/human/USA/MA_MGH_00679/2020	GenBank	EPI_ISL_460465	B.1	Complete	29836	High	0/0/-/-/-	Homo sapiens	2020-03-22	United States / Massachusetts	 	2020-05-26	Infectious Disease Program, Broad Institute of Harvard and MIT, 75 Ames St, Cambridge, MA 02142, USA	2020-06-05 07:37:03	2021-03-16 10:46:59	B.1
587	MT520541	SARS-CoV-2/human/USA/MA_MGH_00178/2020	GenBank	EPI_ISL_460466	B.1	Complete	29788	High	0/0/-/-/-	Homo sapiens	2020-03-26	United States / Massachusetts	 	2020-05-26	Infectious Disease Program, Broad Institute of Harvard and MIT, 75 Ames St, Cambridge, MA 02142, USA	2020-06-05 07:37:03	2021-03-16 10:46:59	B.1
588	MT525950	SARS-CoV-2/human/ITA/INMI3/2020	GenBank	EPI_ISL_417921	B.1	Complete	29760	High	0/0/-/-/-	Homo sapiens	2020-03-01	Italy / Rome	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	2020-03-27	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	2020-03-28 12:19:58	2021-03-16 10:46:59	B.1
589	MT527184	SARS-CoV-2/human/ITA/INMI6/2020	GenBank	EPI_ISL_419254	B.1	Complete	29834	High	0/0/-/-/-	Homo Sapiens	2020-03-23	Italy / Rome	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	2020-04-01	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	2020-04-02 02:58:47	2021-03-16 10:46:59	B.1
590	MT528599	SARS-CoV-2/human/USA/UNC_200219/2020	GenBank	EPI_ISL_454797	B.1	Complete	29834	High	0/0/-/-/-	Homo sapiens	2020-03	United States	 	2020-05-27	Microbiology & Immunology, University of North Carolina, 450 West Drive, Chapel Hill, NC 27514, USA	2020-05-29 07:27:01	2021-03-16 10:46:59	B.1
591	MT528609	SARS-CoV-2/human/USA/UNC_200256/2020	GenBank	EPI_ISL_454807	B.1	Complete	29835	High	0/0/-/-/-	Homo sapiens	2020-03	United States	 	2020-05-27	Microbiology & Immunology, University of North Carolina, 450 West Drive, Chapel Hill, NC 27514, USA	2020-05-29 07:27:02	2021-03-16 10:46:59	B.1
592	MT528626	SARS-CoV-2/human/USA/UNC_200330/2020	GenBank	EPI_ISL_454824	A	Complete	29835	High	0/0/-/-/-	Homo sapiens	2020-03	United States	 	2020-05-27	Microbiology & Immunology, University of North Carolina, 450 West Drive, Chapel Hill, NC 27514, USA	2020-05-29 07:27:02	2021-03-16 10:46:59	A
593	MT531537	SARS-CoV-2/human/ITA/Siena-1/2020	GenBank	EPI_ISL_582123	B.1.1	Complete	29863	High	0/0/-/-/-	Homo Sapiens	2020-03-01	Italy / Tuscany	NA	2020-10-15	NA	2020-10-19 11:11:08	2021-03-16 10:46:59	B.1.1
594	MT532435	SARS-CoV-2/human/USA/VI-CDC-4411/2020	GenBank	EPI_ISL_454644	B.1	Complete	29879	High	0/0/-/-/-	Homo sapiens	2020-04-27	United States	 	2020-05-28	Respiratory Viruses Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30329, USA	2020-05-29 07:27:02	2021-03-16 10:46:59	B.1
595	MT533198	SARS-CoV-2/human/USA/VI-CDC-4371/2020	GenBank	EPI_ISL_454649	B.1	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-04-26	United States	 	2020-05-28	Respiratory Viruses Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30329, USA	2020-05-29 07:27:03	2021-03-16 10:46:59	B.1
596	MT533201	SARS-CoV-2/human/USA/VI-CDC-4412/2020	GenBank	NA	B.1	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-04-27	United States	 	2020-05-28	 	2021-06-08 10:34:33	2021-06-08 10:34:33	B.1
597	MT534315	SARS-CoV-2/human/USA/CA-CZB-1245/2020	GenBank	EPI_ISL_454665	B.46	Complete	29902	High	0/0/-/-/-	Homo Sapiens	2020-04-14	United States / California / Santa Clara County	County of Santa Clara Public Health Department	2020-05-28	Chan-Zuckerberg Biohub	2020-05-29 07:27:00	2021-03-16 10:46:59	B.46
598	MT539160	SARS-CoV-2/human/BGD/BCSIR_NILMRC_008/2020	GenBank	EPI_ISL_455459	B.1.1.25	Complete	29758	High	0/0/-/-/-	Homo sapiens	2020-05-21	Bangladesh	 	2020-05-30	Genomic Research Lab, Bangladesh Council of Scientific and Industrial Research, Dr. Qudrat-E-Khuda Road, Dhaka, VIC 1205, Bangladesh	2020-06-01 04:13:53	2021-03-16 10:46:59	B.1.1.25
599	MT539172	SARS-CoV-2/human/IND/GBRC128/2020	GenBank	EPI_ISL_455025	B.1.143	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-05-02	India / Gujarat / Vadodara	Government Medical College, Vadodara	2020-05-29	Gujarat Biotechnology Research Centre	2020-05-30 05:44:58	2021-03-16 10:46:59	B.1.143
600	MT539176	SARS-CoV-2/human/IND/GBRC123/2020	GenBank	EPI_ISL_455020	B.1.143	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-05-02	India / Gujarat / Vadodara	Government Medical College, Vadodara	2020-05-29	Gujarat Biotechnology Research Centre	2020-05-30 05:44:58	2021-03-16 10:46:59	B.1.143
601	MT557568	SARS-CoV-2/human/USA/UNC_200429/2020	GenBank	EPI_ISL_458291	A	Complete	29835	High	0/0/-/-/-	Homo sapiens	2020-04	United States	 	2020-06-02	Microbiology & Immunology, University of North Carolina, 450 West Drive, Chapel Hill, NC 27514, USA	2020-06-04 04:19:37	2021-03-16 10:46:59	A
602	MT558659	SARS-CoV-2/human/USA/VA-DCLS-0231/2020	GenBank	EPI_ISL_452808	B.1.442	Complete	29887	High	0/0/-/-/-	Homo Sapiens	2020-04-05	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:52	2021-03-16 10:46:59	B.1.442
603	MT558660	SARS-CoV-2/human/USA/VA-DCLS-0232/2020	GenBank	EPI_ISL_452809	B.1.332	Complete	29858	High	0/0/-/-/-	Homo Sapiens	2020-04-01	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:52	2021-03-16 10:46:59	B.1.332
604	MT558670	SARS-CoV-2/human/USA/VA-DCLS-0245/2020	GenBank	EPI_ISL_452819	B.1.494	Complete	29896	High	0/0/-/-/-	Homo Sapiens	2020-04-16	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:52	2021-03-16 10:46:59	B.1.494
605	MT558679	SARS-CoV-2/human/USA/VA-DCLS-0254/2020	GenBank	EPI_ISL_452828	B.1	Complete	29899	High	0/0/-/-/-	Homo Sapiens	2020-04-20	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:53	2021-03-16 10:46:59	B.1
606	MT558680	SARS-CoV-2/human/USA/VA-DCLS-0255/2020	GenBank	EPI_ISL_452829	B.1	Complete	29860	High	0/0/-/-/-	Homo Sapiens	2020-04-20	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:53	2021-03-16 10:46:59	B.1
607	MT558681	SARS-CoV-2/human/USA/VA-DCLS-0257/2020	GenBank	EPI_ISL_452830	B.1	Complete	29861	High	0/0/-/-/-	Homo Sapiens	2020-04-20	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:53	2021-03-16 10:46:59	B.1
608	MT558694	SARS-CoV-2/human/USA/VA-DCLS-0274/2020	GenBank	EPI_ISL_452843	B.1.1.231	Complete	29883	High	0/0/-/-/-	Homo Sapiens	2020-04-22	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:53	2021-03-16 10:46:59	B.1.1.231
609	MT558699	SARS-CoV-2/human/USA/VA-DCLS-0279/2020	GenBank	EPI_ISL_452848	B.1	Complete	29863	High	0/0/-/-/-	Homo Sapiens	2020-04-22	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:53	2021-03-16 10:46:59	B.1
610	MT558700	SARS-CoV-2/human/USA/VA-DCLS-0280/2020	GenBank	EPI_ISL_452849	B.1.1.231	Complete	29865	High	0/0/-/-/-	Homo Sapiens	2020-04-22	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:53	2021-03-16 10:46:59	B.1.1.231
611	MT558707	SARS-CoV-2/human/USA/VA-DCLS-0287/2020	GenBank	EPI_ISL_452856	B.1.503	Complete	29899	High	0/0/-/-/-	Homo Sapiens	2020-04-21	United States / Virginia	Virginia DCLS	2020-05-27	Virginia DCLS	2020-05-28 06:11:53	2021-03-16 10:46:59	B.1.503
612	MT560657	SARS-CoV-2/human/IND/GBRC132/2020	GenBank	EPI_ISL_458087	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-05-24	India / Gujarat / Ahmedabad	B.J. Medical College and Civil hospital	2020-06-03	Gujarat Biotechnology Research Centre	2020-06-04 04:19:35	2021-03-16 10:46:59	B.1
613	MT560673	SARS-CoV-2/human/IND/GBRC145/2020	GenBank	EPI_ISL_458105	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-05-06	India / Gujarat / Prantij	Gujarat Biotechnology Research Centre	2020-06-03	Gujarat Biotechnology Research Centre	2020-06-04 04:19:36	2021-03-16 10:46:59	B.1
614	MT560704	SARS-CoV-2/human/IND/GBRC136b/2020	GenBank	EPI_ISL_458093	B.1.36	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-05-24	India / Gujarat / Ahmedabad	B.J. Medical College and Civil hospital	2020-06-03	Gujarat Biotechnology Research Centre	2020-06-04 04:19:35	2021-03-16 10:46:59	B.1.36
615	MT566435	SARS-CoV-2/human/BGD/DNAS_CPH_isl_471_BGD/2020	GenBank	 	B.1.1.25	Complete	29833	High	0/0/-/-/-	Homo sapiens	2020-04-28	Bangladesh	 	2020-06-04	NGS Lab, DNA SOLUTION LTD., Panthapath, Dhaka, state 1205, Bangladesh	2020-06-06 06:24:50	2021-03-16 10:46:59	B.1.1.25
616	MT576034	SARS-CoV-2/human/IND/GBRC153b/2020	GenBank	EPI_ISL_461482	A	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-04-27	India / Gujarat / Rajkot	Pandit Deendayal Upadhyay Government Medical College, Rajkot	2020-06-06	Gujarat Biotechnology Research Centre	2020-06-07 07:27:57	2021-03-16 10:46:59	A
617	MT576046	SARS-CoV-2/human/IND/GBRC157b/2020	GenBank	EPI_ISL_461487	B.1.210	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-05-27	India / Gujarat / Ahmedabad	B.J. Medical College and Civil hospital	2020-06-06	Gujarat Biotechnology Research Centre	2020-06-07 07:27:57	2021-03-16 10:46:59	B.1.210
618	MT576052	SARS-CoV-2/human/IND/GBRC168a/2020	GenBank	EPI_ISL_461505	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-05-27	India / Gujarat / Ahmedabad	B.J. Medical College and Civil hospital	2020-06-06	Gujarat Biotechnology Research Centre	2020-06-07 07:27:57	2021-03-16 10:46:59	B.1
619	MT576641	SARS-CoV-2/human/BGD/BCSIR_NILMRC_06/2020	GenBank	EPI_ISL_462094	B.1.1.25	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-05-23	Bangladesh / Dhaka	 	2020-06-08	Genomic Research Lab, Bangladesh Council of Scientific and Industrial Research, Dr. Qudrat-E-Khuda Road, Dhaka 1205, Bangladesh	2020-09-08 07:54:00	2021-03-16 10:46:59	B.1.1.25
620	MT576643	SARS-CoV-2/human/BGD/BCSIR_NILMRC_015/2020	GenBank	EPI_ISL_462096	B.1.1.25	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-05-23	Bangladesh / Dhaka	 	2020-06-08	Genomic Research Lab, Bangladesh Council of Scientific and Industrial Research, Dr. Qudrat-E-Khuda Road, Dhaka 1205, Bangladesh	2020-09-08 07:54:00	2021-03-16 10:46:59	B.1.1.25
621	MT577010	SARS-CoV-2/human/IND/770/2020	GenBank	EPI_ISL_420545	B.1	Complete	29862	High	0/0/-/-/-	Homo Sapiens	2020-03-03	India	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	2020-04-06	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	2020-04-07 14:22:22	2021-03-16 10:46:59	B.1
622	MT577013	SARS-CoV-2/human/IND/777/2020	GenBank	EPI_ISL_420551	B.1	Complete	29856	High	0/0/-/-/-	Homo Sapiens	2020-03-03	India	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	2020-04-06	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	2020-04-07 14:22:22	2021-03-16 10:46:59	B.1
623	MT578016	SARS-CoV-2/human/BGD/BCSIR_NILMRC_003/2020	GenBank	EPI_ISL_462092	B.1.1.25	Complete	29855	High	0/0/-/-/-	Homo Sapiens	2020-05-23	Bangladesh / Dhaka	National Institute of Laboratory Medicine and Referral Center	2020-06-07	Genomic Research Lab, BCSIR	2020-06-08 17:38:35	2021-03-16 10:46:59	B.1.1.25
624	MT581412	SARS-CoV-2/human/BGD/DNAS_CPH_isl_428_BGD/2020	GenBank	EPI_ISL_605884	B.1.1	Complete	29822	High	0/0/-/-/-	Homo sapiens	2020-04-29	Bangladesh	 	2020-06-09	NGS Lab, DNA SOLUTION LTD., Panthapath, Dhaka, state 1205, Bangladesh	2020-11-03 10:14:28	2021-03-16 10:46:59	B.1.1
625	MT581415	SARS-CoV-2/human/BGD/DNAS_CPH_isl_417_BGD/2020	GenBank	EPI_ISL_605887	B.1	Complete	29822	High	0/0/-/-/-	Homo sapiens	2020-04-29	Bangladesh	 	2020-06-09	NGS Lab, DNA SOLUTION LTD., Panthapath, Dhaka, state 1205, Bangladesh	2020-11-03 10:14:28	2021-03-16 10:46:59	B.1
626	MT581429	SARS-CoV-2/human/BGD/DNAS_CPH_isl_426_BGD/2020	GenBank	EPI_ISL_605901	B.1	Complete	29822	High	0/0/-/-/-	Homo sapiens	2020-04-29	Bangladesh	 	2020-06-09	NGS Lab, DNA SOLUTION LTD., Panthapath, Dhaka, state 1205, Bangladesh	2020-11-03 10:14:28	2021-03-16 10:46:59	B.1
627	MT582460	SARS-CoV-2/human/DEU/NRW-40/2020	GenBank	EPI_ISL_425124	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-03-17	Germany / Duesseldorf	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-04-14	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-04-15 04:41:59	2021-03-16 10:46:59	B.1
628	MT582462	SARS-CoV-2/human/DEU/NRW-38/2020	GenBank	EPI_ISL_425122	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-03-16	Germany / Duesseldorf	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-04-14	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-04-15 04:41:59	2021-03-16 10:46:59	B.1
629	MT582463	SARS-CoV-2/human/DEU/NRW-37/2020	GenBank	EPI_ISL_425121	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-03-16	Germany / Duesseldorf	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-04-14	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-04-15 04:41:59	2021-03-16 10:46:59	B.1
630	MT582482	SARS-CoV-2/human/DEU/NRW-18/2020	GenBank	EPI_ISL_417463	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-03-13	Germany / Duesseldorf	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-03-26	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-03-27 03:25:52	2021-03-16 10:46:59	B.1
631	MT582491	SARS-CoV-2/human/DEU/NRW-09/2020	GenBank	EPI_ISL_414509	B.3	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-02-28	Germany / North Rhine Westphalia / Heinsberg District	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-03-13	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	2020-03-15 04:02:06	2021-03-16 10:46:59	B.3
632	MT584997	SARS-CoV-2/human/USA/MI-MDHHS-SC20637/2020	GenBank	EPI_ISL_462719	B.1.2	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-04-26	United States / Michigan	Michigan Department of Health and Human Services, Bureau of Laboratories	2020-06-08	Michigan Department of Health and Human Services, Bureau of Laboratories	2020-06-09 03:59:41	2021-03-16 10:46:59	B.1.2
633	MT598174	SARS-CoV-2/human/USA/SEARCH-0017-SAN/2020	GenBank	EPI_ISL_429991	B.1.1	Complete	29409	High	0/0/-/-/-	Homo Sapiens	2020-03-24	United States / California / San Diego	Andersen lab at Scripps Research	2020-04-24	Andersen lab at Scripps Research	2020-04-25 06:37:45	2021-03-16 10:46:59	B.1.1
634	MT598642	SARS-CoV-2/human/USA/WA-S11/2020	GenBank	EPI_ISL_416466	A.1	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-03-03	United States / Washington / King County	Seattle Flu Study	2020-03-22	Seattle Flu Study	2020-03-23 07:08:31	2021-03-16 10:46:59	A.1
635	MT601277	SARS-CoV-2/human/BGD/BCSIR_NILMRC_54/2020	GenBank	EPI_ISL_466628	B.1.1.25	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-01	Bangladesh / Narayanganj	National Institute of Laboratory Medicine and Referral Center	2020-06-11	Genomic Research Lab, BCSIR	2020-06-12 08:19:26	2021-03-16 10:46:59	B.1.1.25
636	MT601281	SARS-CoV-2/human/BGD/BCSIR_NILMRC_67/2020	GenBank	EPI_ISL_466637	B.1.36.16	Complete	29900	High	0/0/-/-/-	Homo Sapiens	2020-05-26	Bangladesh / Chattogram	National Institute of Laboratory Medicine and Referral Center	2020-06-11	Genomic Research Lab, BCSIR	2020-06-12 08:19:26	2021-03-16 10:46:59	B.1.36.16
637	MT601283	SARS-CoV-2/human/BGD/BCSIR_NILMRC_70/2020	GenBank	EPI_ISL_466639	B.1.36.16	Complete	29887	High	0/0/-/-/-	Homo Sapiens	2020-05-26	Bangladesh / Chattogram	National Institute of Laboratory Medicine and Referral Center	2020-06-11	Genomic Research Lab, BCSIR	2020-06-12 08:19:26	2021-03-16 10:46:59	B.1.36.16
638	MT601287	SARS-CoV-2/human/BGD/BCSIR_NILMRC_75/2020	GenBank	EPI_ISL_466691	B.1.1.25	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-01	Bangladesh / Dhaka	National Institute of Laboratory Medicine and Referral Center	2020-06-11	Genomic Research Lab, BCSIR	2020-06-12 08:19:27	2021-03-16 10:46:59	B.1.1.25
639	MT605818	SARS-CoV-2/human/TUR/IMU-SP-03/2020	GenBank	EPI_ISL_468066	B.1.1	Complete	29845	High	0/0/-/-/-	Homo sapiens	2020-04-16	Turkey	 	2020-06-14	Physiology, Istanbul Medeniyet University, Dumlupinar D100 Karayolu No:98, Istanbul 34720, Turkey	2020-06-16 04:19:16	2021-03-16 10:46:59	B.1.1
640	MT607249	SARS-CoV-2/human/IND/GBRC170a/2020	GenBank	EPI_ISL_467031	B.1.210	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-05	India / Gujarat / Kadi	GMERS Medical College and Hospital, Gandhinagar	2020-06-12	Gujarat Biotechnology Research Centre	2020-06-13 07:34:36	2021-03-16 10:46:59	B.1.210
641	MT607250	SARS-CoV-2/human/IND/GBRC170b/2020	GenBank	EPI_ISL_467032	B.1.210	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-05	India / Gujarat / Kadi	GMERS Medical College and Hospital, Gandhinagar	2020-06-12	Gujarat Biotechnology Research Centre	2020-06-13 07:34:36	2021-03-16 10:46:59	B.1.210
642	MT607252	SARS-CoV-2/human/BGD/BCSIR_NILMRC_060/2020	GenBank	EPI_ISL_464165	B.1.1.25	Complete	29898	High	0/0/-/-/-	Homo sapiens	2020-05-10	Bangladesh / Narayanganj	 	2020-06-13	Genomic Research Lab, Bangladesh Council of Scientific and Industrial Research, Dr. Qudrat-E-Khuda Road, Dhaka 1205, Bangladesh	2020-06-16 04:19:17	2021-03-16 10:46:59	B.1.1.25
643	MT607615	SARS-CoV-2/human/IND/GBRC175/2020	GenBank	EPI_ISL_467039	B.1.210	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-05	India / Gujarat / Vadodara	Government Medical College, Vadodara	2020-06-12	Gujarat Biotechnology Research Centre	2020-06-13 07:34:36	2021-03-16 10:46:59	B.1.210
644	MT607617	SARS-CoV-2/human/IND/GBRC181a/2020	GenBank	EPI_ISL_467049	B.1.36.8	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-03	India / Gujarat / Ahmedabad	B.J. Medical College and Civil hospital	2020-06-12	Gujarat Biotechnology Research Centre	2020-06-13 07:34:37	2021-03-16 10:46:59	B.1.36.8
645	MT607619	SARS-CoV-2/human/IND/GBRC182b/2020	GenBank	EPI_ISL_467052	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-03	India / Gujarat / Ahmedabad	B.J. Medical College and Civil hospital	2020-06-12	Gujarat Biotechnology Research Centre	2020-06-13 07:34:37	2021-03-16 10:46:59	B.1
646	MT607976	SARS-CoV-2/human/BGD/DNAS_isl_116/2020	GenBank	EPI_ISL_605913	B.1.1.175	Complete	29826	High	0/0/-/-/-	Homo sapiens	2020-05-24	Bangladesh	 	2020-06-14	NGS Lab, DNA SOLUTION LTD., Panthapath, Dhaka, state 1205, Bangladesh	2020-11-03 10:14:28	2021-03-16 10:46:59	B.1.1.175
647	MT608648	SARS-CoV-2/human/IND/GBRC183b/2020	GenBank	EPI_ISL_467054	B.1.210	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-06-03	India / Gujarat / Ahmedabad	B.J. Medical College and Civil hospital	2020-06-12	Gujarat Biotechnology Research Centre	2020-06-13 07:34:37	2021-03-16 10:46:59	B.1.210
648	MT609565	SARS-CoV-2/human/USA/VA-DCLS-0298/2020	GenBank	EPI_ISL_463101	B.1.439	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-04-30	United States / Virginia	Virginia DCLS	2020-06-09	Virginia DCLS	2020-06-10 09:06:20	2021-03-16 10:46:59	B.1.439
649	MT609567	SARS-CoV-2/human/USA/VA-DCLS-0301/2020	GenBank	EPI_ISL_463104	B.1.494	Complete	29887	High	0/0/-/-/-	Homo Sapiens	2020-05-18	United States / Virginia	Virginia DCLS	2020-06-09	Virginia DCLS	2020-06-10 09:06:20	2021-03-16 10:46:59	B.1.494
650	MT609569	SARS-CoV-2/human/USA/VA-DCLS-0303/2020	GenBank	EPI_ISL_463106	B.1.494	Complete	29900	High	0/0/-/-/-	Homo Sapiens	2020-05-18	United States / Virginia	Virginia DCLS	2020-06-09	Virginia DCLS	2020-06-10 09:06:20	2021-03-16 10:46:59	B.1.494
651	MT609577	SARS-CoV-2/human/USA/VA-DCLS-0347/2020	GenBank	EPI_ISL_463114	B.1.37	Complete	29893	High	0/0/-/-/-	Homo Sapiens	2020-05-08	United States / Virginia	Virginia DCLS	2020-06-09	Virginia DCLS	2020-06-10 09:06:20	2021-03-16 10:46:59	B.1.37
652	MT609587	SARS-CoV-2/human/USA/VA-DCLS-0363/2020	GenBank	EPI_ISL_463124	B.1.503	Complete	29861	High	0/0/-/-/-	Homo Sapiens	2020-04-30	United States / Virginia	Virginia DCLS	2020-06-09	Virginia DCLS	2020-06-10 09:06:20	2021-03-16 10:46:59	B.1.503
653	MT609594	SARS-CoV-2/human/USA/VA-DCLS-0375/2020	GenBank	EPI_ISL_463131	B.1.503	Complete	29896	High	0/0/-/-/-	Homo Sapiens	2020-05-11	United States / Virginia	Virginia DCLS	2020-06-09	Virginia DCLS	2020-06-10 09:06:21	2021-03-16 10:46:59	B.1.503
654	MT609599	SARS-CoV-2/human/USA/VA-DCLS-0380/2020	GenBank	EPI_ISL_463136	B.1.503	Complete	29898	High	0/0/-/-/-	Homo Sapiens	2020-05-13	United States / Virginia	Virginia DCLS	2020-06-09	Virginia DCLS	2020-06-10 09:06:21	2021-03-16 10:46:59	B.1.503
655	MT614449	SARS-CoV-2/human/USA/CA-QDX-155/2020	GenBank	EPI_ISL_467817	A.1	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-16	United States / California	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:06	2021-03-16 10:46:59	A.1
656	MT614455	SARS-CoV-2/human/USA/CA-QDX-161/2020	GenBank	EPI_ISL_467823	B.1	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-16	United States / California	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:07	2021-03-16 10:46:59	B.1
657	MT614476	SARS-CoV-2/human/USA/GA-QDX-53/2020	GenBank	EPI_ISL_467849	A	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-13	United States / Georgia	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:08	2021-03-16 10:46:59	A
658	MT614477	SARS-CoV-2/human/USA/MA-QDX-31/2020	GenBank	EPI_ISL_467856	B.1	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-14	United States / Massachusetts	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:09	2021-03-16 10:46:59	B.1
659	MT614480	SARS-CoV-2/human/USA/MA-QDX-47/2020	GenBank	EPI_ISL_467859	B.1	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-15	United States / Massachusetts	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:09	2021-03-16 10:46:59	B.1
660	MT614488	SARS-CoV-2/human/USA/MI-QDX-26/2020	GenBank	EPI_ISL_467868	B.1	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-13	United States / Michigan	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:09	2021-03-16 10:46:59	B.1
661	MT614491	SARS-CoV-2/human/USA/MI-QDX-58/2020	GenBank	EPI_ISL_467871	A	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-15	United States / Michigan	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:09	2021-03-16 10:46:59	A
662	MT614524	SARS-CoV-2/human/USA/CA-QDX-129/2020	GenBank	EPI_ISL_467812	B.1.1	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-15	United States / California	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:06	2021-03-16 10:46:59	B.1.1
663	MT614529	SARS-CoV-2/human/USA/GA-QDX-116/2020	GenBank	EPI_ISL_467846	A	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-13	United States / Georgia	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:08	2021-03-16 10:46:59	A
664	MT614533	SARS-CoV-2/human/USA/MA-QDX-135/2020	GenBank	EPI_ISL_467852	B.1	Complete	29782	High	0/0/-/-/-	Homo Sapiens	2020-03-14	United States / Massachusetts	Quest Diagnostics	2020-06-15	Quest Diagnostics	2020-06-16 04:19:08	2021-03-16 10:46:59	B.1
