	Accession.ID	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
22100	MZ305351	SARS-CoV-2/human/USA/VA-CDC-LC0060352/2021	GenBank	EPI_ISL_2307166	B.1.525	Complete	29689	High	0/0/-/-/-	Homo Sapiens	2021-05-17	United States / Virginia	NA	2021-05-27	NA	2021-05-30 06:41:24	2021-06-08 14:04:01	eta
22282	MZ308233	SARS-CoV-2/human/USA/SC-CDC-LC0061903/2021	GenBank	EPI_ISL_2306880	B.1.525	Complete	29705	High	0/0/-/-/-	Homo Sapiens	2021-05-13	United States / South Carolina	NA	2021-05-27	NA	2021-05-30 06:41:24	2021-06-08 14:04:01	eta
22367	MZ315112	SARS-CoV-2/human/USA/VA-DCLS-5216/2021	GenBank	EPI_ISL_2362012	B.1.525	Complete	29792	High	0/0/-/-/-	Homo Sapiens	2021-05-15	United States / Virginia	NA	2021-05-31	NA	2021-06-03 03:32:22	2021-06-16 15:35:23	eta
22372	MZ315133	SARS-CoV-2/human/USA/VA-DCLS-5240/2021	GenBank	EPI_ISL_2362034	B.1.525	Complete	29791	High	0/0/-/-/-	Homo Sapiens	2021-05-17	United States / Virginia	NA	2021-05-31	NA	2021-06-03 03:32:22	2021-06-16 15:35:23	eta
22542	MZ317699	SARS-CoV-2/human/USA/VA-DCLS-5141/2021	GenBank	EPI_ISL_2344486	B.1.525	Complete	29739	High	0/0/-/-/-	Homo Sapiens	2021-05-05	United States / Virginia	NA	2021-05-30	NA	2021-06-03 03:32:24	2021-06-16 15:35:33	eta
22727	MZ321004	SARS-CoV-2/human/USA/WA-CDC-UW21051300287/2021	GenBank	EPI_ISL_2332986	B.1.525	Complete	29509	High	0/0/-/-/-	Homo Sapiens	2021-05-13	United States / Washington	NA	2021-05-29	NA	2021-06-03 03:32:22	2021-06-16 15:35:34	eta
22737	MZ321227	SARS-CoV-2/human/USA/MA-CDC-QDX24941256/2021	GenBank	EPI_ISL_2371918	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-05-11	United States / Massachusetts	 	2021-06-01	 	2021-06-08 10:34:33	2021-06-08 10:34:33	eta
22754	MZ321539	SARS-CoV-2/human/USA/MA-CDC-QDX24941311/2021	GenBank	EPI_ISL_2372230	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-05-12	United States / Massachusetts	 	2021-06-01	 	2021-06-08 10:34:33	2021-06-08 10:34:33	eta
22949	MZ337199	SARS-CoV-2/human/USA/MA-CDC-QDX25025411/2021	GenBank	EPI_ISL_2397612	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-05-15	United States / Massachusetts	NA	2021-06-03	NA	2021-06-08 10:34:37	2021-06-16 15:33:20	eta
22950	MZ337200	SARS-CoV-2/human/USA/MA-CDC-QDX25025312/2021	GenBank	EPI_ISL_2397613	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-05-11	United States / Massachusetts	NA	2021-06-03	NA	2021-06-08 10:34:37	2021-06-16 15:33:23	eta
22955	MZ337245	SARS-CoV-2/human/USA/MA-CDC-QDX25025410/2021	GenBank	EPI_ISL_2397658	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-05-15	United States / Massachusetts	NA	2021-06-03	NA	2021-06-08 10:34:37	2021-06-16 15:33:20	eta
23143	MZ341937	SARS-CoV-2/human/USA/VA-CDC-LC0064095/2021	GenBank	EPI_ISL_2398758	B.1.525	Complete	29706	High	0/0/-/-/-	Homo Sapiens	2021-05-16	United States / Virginia	NA	2021-06-03	NA	2021-06-08 10:34:37	2021-06-16 15:33:20	eta
23265	MZ343598	SARS-CoV-2/human/USA/VA-DCLS-5273/2021	GenBank	EPI_ISL_2425477	B.1.525	Complete	29792	High	0/0/-/-/-	Homo sapiens	2021-05	United States / Virginia	 	2021-06-04	 	2021-06-10 13:24:57	2021-06-10 13:24:57	eta
23318	MZ349314	SARS-CoV-2/human/USA/MI-CDC-ASC210042844/2021	GenBank	EPI_ISL_2421478	B.1.525	Complete	29818	High	0/0/-/-/-	Homo sapiens	2021-04-02	United States / Michigan	 	2021-06-06	 	2021-06-10 13:24:57	2021-06-10 13:24:57	eta
23389	MZ351875	SARS-CoV-2/human/USA/SC-COVID21-1938/2021	GenBank	NA	B.1.525	Complete	29764	High	0/0/-/-/-	Homo sapiens	2021-05-20	United States / SC / OCONEE	 	2021-06-07	 	2021-06-10 13:24:57	2021-06-10 13:24:57	eta
23592	MZ358532	SARS-CoV-2/human/USA/MA-CDC-2-4451461/2021	GenBank	EPI_ISL_2451820	B.1.525	Complete	29723	High	0/1/-/-/-	Homo sapiens	2021-05-14	United States / MA	 	2021-06-08	 	2021-06-10 13:24:57	2021-06-12 11:29:43	eta
23606	MZ358620	SARS-CoV-2/human/USA/SC-CDC-2-4451579/2021	GenBank	EPI_ISL_2451969	B.1.525	Complete	29723	High	0/0/-/-/-	Homo sapiens	2021-05-20	United States / SC	 	2021-06-08	 	2021-06-10 13:24:57	2021-06-12 11:29:42	eta
23715	MZ360675	SARS-CoV-2/human/USA/WA-UW-67134/2021	GenBank	NA	B.1.525	Complete	29516	High	0/0/-/-/-	Homo sapiens	2021-03-14	United States	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23751	MZ362439	SARS-CoV-2/human/ITA/ABR-IZSGC-TE161257/2021	GenBank	NA	B.1.525	Complete	29700	High	0/0/-/-/-	Homo sapiens	2021-03-16	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23752	MZ362440	SARS-CoV-2/human/ITA/ABR-IZSGC-TE161253/2021	GenBank	NA	B.1.525	Complete	29692	High	0/0/-/-/-	Homo sapiens	2021-03-16	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23753	MZ362441	SARS-CoV-2/human/ITA/ABR-IZSGC-TE161232/2021	GenBank	NA	B.1.525	Complete	29688	High	0/0/-/-/-	Homo sapiens	2021-03-16	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23754	MZ362442	SARS-CoV-2/human/ITA/ABR-IZSGC-TE226367/2021	GenBank	NA	B.1.525	Complete	29697	High	0/0/-/-/-	Homo sapiens	2021-04-20	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23755	MZ362443	SARS-CoV-2/human/ITA/ABR-IZSGC-TE248718/2021	GenBank	NA	B.1.525	Complete	29703	High	0/0/-/-/-	Homo sapiens	2021-04-30	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23756	MZ362444	SARS-CoV-2/human/ITA/ABR-IZSGC-TE273981/2021	GenBank	NA	B.1.525	Complete	29702	High	0/0/-/-/-	Homo sapiens	2021-05-18	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23757	MZ362446	SARS-CoV-2/human/ITA/ABR-IZSGC-TE274143/2021	GenBank	NA	B.1.525	Complete	29693	High	0/0/-/-/-	Homo sapiens	2021-05-18	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23758	MZ362447	SARS-CoV-2/human/ITA/ABR-IZSGC-TE274161/2021	GenBank	NA	B.1.525	Complete	29684	High	0/0/-/-/-	Homo sapiens	2021-05-18	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23759	MZ362448	SARS-CoV-2/human/ITA/ABR-IZSGC-TE274169/2021	GenBank	NA	B.1.525	Complete	29702	High	0/0/-/-/-	Homo sapiens	2021-05-18	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23760	MZ362449	SARS-CoV-2/human/ITA/ABR-IZSGC-TE274173/2021	GenBank	NA	B.1.525	Complete	29674	High	0/0/-/-/-	Homo sapiens	2021-05-18	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23761	MZ362450	SARS-CoV-2/human/ITA/ABR-IZSGC-TE274182/2021	GenBank	NA	B.1.525	Complete	29698	High	0/0/-/-/-	Homo sapiens	2021-05-18	Italy	 	2021-06-09	 	2021-06-14 03:14:21	2021-06-14 03:14:21	eta
23874	MZ368147	SARS-CoV-2/human/USA/WV-CDC-ASC210013468/2021	GenBank	EPI_ISL_2482285	B.1.525	Complete	29800	High	0/0/-/-/-	Homo sapiens	2021-03-21	United States / West Virginia	 	2021-06-10	 	2021-06-14 03:14:21	2021-06-17 10:05:27	eta
23875	MZ368148	SARS-CoV-2/human/USA/WV-CDC-ASC210013470/2021	GenBank	EPI_ISL_2482286	B.1.525	Complete	29826	High	0/0/-/-/-	Homo sapiens	2021-03-21	United States / West Virginia	 	2021-06-10	 	2021-06-14 03:14:21	2021-06-17 10:05:27	eta
23876	MZ368150	SARS-CoV-2/human/USA/WV-CDC-ASC210013472/2021	GenBank	EPI_ISL_2482288	B.1.525	Complete	29828	High	0/0/-/-/-	Homo sapiens	2021-03-21	United States / West Virginia	 	2021-06-10	 	2021-06-14 03:14:21	2021-06-17 10:05:27	eta
23953	MZ371507	SARS-CoV-2/human/USA/MD-CDC-LC0065867/2021	GenBank	EPI_ISL_2480691	B.1.525	Complete	29610	High	0/0/-/-/-	Homo sapiens	2021-05-19	United States / Maryland	 	2021-06-10	 	2021-06-14 03:14:21	2021-06-17 10:05:24	eta
23955	MZ371523	SARS-CoV-2/human/USA/VA-CDC-LC0065914/2021	GenBank	EPI_ISL_2480707	B.1.525	Complete	29735	High	0/0/-/-/-	Homo sapiens	2021-05-19	United States / Virginia	 	2021-06-10	 	2021-06-14 03:14:21	2021-06-17 10:05:25	eta
24227	MZ376074	SARS-CoV-2/human/USA/VA-CDC-ASC210106088/2021	GenBank	EPI_ISL_2489270	B.1.525	Complete	29820	High	0/0/-/-/-	Homo sapiens	2021-05-28	United States / Virginia	 	2021-06-11	 	2021-06-18 03:23:52	2021-06-18 03:23:52	eta
24342	MZ377462	SARS-CoV-2/human/USA/CA-CZB-33462/2021	GenBank	EPI_ISL_2496921	B.1.525	Complete	29799	High	3/3/-/-/-	Homo sapiens	2021-04-19	United States / CA / Contra Costa County	 	2021-06-12	 	2021-06-18 03:23:52	2021-06-18 03:23:52	eta
24351	MZ377584	SARS-CoV-2/human/USA/CA-CZB-32505/2021	GenBank	EPI_ISL_2496922	B.1.525	Complete	29739	High	3/0/-/-/-	Homo sapiens	2021-05-06	United States / CA	 	2021-06-12	 	2021-06-18 03:23:52	2021-06-18 03:23:52	eta
24432	MZ378119	SARS-CoV-2/human/USA/CA-CZB-32632/2021	GenBank	EPI_ISL_2500162	B.1.525	Complete	29736	High	3/0/-/-/-	Homo sapiens	2021-04-15	United States / CA / Santa Clara County	 	2021-06-12	 	2021-06-18 03:23:52	2021-06-18 03:23:52	eta
24634	MZ386276	SARS-CoV-2/human/USA/WY-CDC-ASC210107556/2021	GenBank	EPI_ISL_2528220	B.1.525	Complete	29816	High	0/0/-/-/-	Homo sapiens	2021-06-04	United States / Wyoming	 	2021-06-14	 	2021-06-18 03:23:52	2021-06-18 03:23:52	eta
24705	MZ388000	SARS-CoV-2/human/USA/TX-CDC-4140147-001/2021	GenBank	EPI_ISL_2533755	B.1.525	Complete	29730	High	0/1/-/-/-	Homo sapiens	2021-04-26	United States	 	2021-06-14	 	2021-06-18 03:23:52	2021-06-18 03:23:52	eta
24722	MZ389938	SARS-CoV-2/human/USA/MD-MDH-2428/2021	GenBank	EPI_ISL_2544771	B.1.525	Complete	29732	High	0/0/-/-/-	Homo sapiens	2021-05-13	United States / MD	 	2021-06-15	 	2021-06-18 03:23:52	2021-06-18 03:23:52	eta
25194	MZ414926.1	SARS-CoV-2/human/USA/IN-GD-SID-C21178114/2021	GenBank	EPI_ISL_1361301	B.1.525	Complete	29800	High	0/0/-/-/-	Homo Sapiens	2021-03-01	Switzerland / Vaud	Viollier AG	2021-03-25	Department of Biosystems Science and Engineering, ETH Z??rich	2021-03-27 23:11:52	2021-06-22 10:45:07	eta
25625	MZ444294.1	SARS-CoV-2/human/USA/UT-UPHL-210414168255/2021	GenBank	NA	B.1.525	Complete	29778	High	0/0/-/-/-	Homo sapiens	2021-03-27	United States	 	2021-06-25	 	2021-06-26 18:50:32	2021-06-26 18:50:32	eta
25724	MZ450062.1	SARS-CoV-2/human/USA/WY-CDC-IBX898873512275/2021	GenBank	NA	B.1.525	Complete	29745	High	0/0/-/-/-	Homo sapiens	2021-06-02	United States / Wyoming	 	2021-06-25	 	2021-06-26 18:50:32	2021-06-26 18:50:32	eta
25739	MZ450249.1	SARS-CoV-2/human/USA/MA-CDC-ASC210107854/2021	GenBank	NA	B.1.525	Complete	29755	High	0/0/-/-/-	Homo sapiens	2021-06-06	United States / Massachusetts	 	2021-06-25	 	2021-06-26 18:50:32	2021-06-26 18:50:32	eta
25760	MZ450381.1	SARS-CoV-2/human/USA/WY-CDC-ASC210108080/2021	GenBank	NA	B.1.525	Complete	29743	High	0/0/-/-/-	Homo sapiens	2021-06-05	United States / Wyoming	 	2021-06-25	 	2021-06-26 18:50:32	2021-06-26 18:50:32	eta
26274	MZ471465.1	SARS-CoV-2/human/USA/UT-UPHL-2105867232/2021	GenBank	EPI_ISL_2291729	B.1.525	Complete	29747	High	0/0/-/-/-	Homo Sapiens	2021-04-29	United States / Utah	NA	2021-05-27	NA	2021-05-30 06:41:26	2021-07-01 16:28:51	eta
26275	MZ471474.1	SARS-CoV-2/human/USA/UT-UPHL-2105985987/2021	GenBank	EPI_ISL_2291728	B.1.525	Complete	29749	High	0/0/-/-/-	Homo Sapiens	2021-05-03	United States / Utah	NA	2021-05-27	NA	2021-05-30 06:41:26	2021-07-01 16:28:50	eta
27083	MZ497782.1	SARS-CoV-2/human/USA/WV064922/2021	GenBank	NA	B.1.525	Complete	29826	High	0/0/-/-/-	Homo sapiens	2021-03-30	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27143	MZ498767.1	SARS-CoV-2/human/USA/WV118422/2021	GenBank	NA	B.1.525	Complete	29748	High	0/0/-/-/-	Homo sapiens	2021-04-11	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27144	MZ498771.1	SARS-CoV-2/human/USA/WV118426/2021	GenBank	NA	B.1.525	Complete	29745	High	0/0/-/-/-	Homo sapiens	2021-04-10	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27145	MZ498775.1	SARS-CoV-2/human/USA/WV118431/2021	GenBank	NA	B.1.525	Complete	29818	High	0/0/-/-/-	Homo sapiens	2021-04-11	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27172	MZ499074.1	SARS-CoV-2/human/USA/WV118537/2021	GenBank	NA	B.1.525	Complete	29826	High	0/0/-/-/-	Homo sapiens	2021-04-13	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27173	MZ499079.1	SARS-CoV-2/human/USA/WV118542/2021	GenBank	NA	B.1.525	Complete	29800	High	0/0/-/-/-	Homo sapiens	2021-04-13	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27274	MZ500503.1	SARS-CoV-2/human/USA/WV118568/2021	GenBank	NA	B.1.525	Complete	29799	High	0/0/-/-/-	Homo sapiens	2021-04-14	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27275	MZ500507.1	SARS-CoV-2/human/USA/WV118573/2021	GenBank	NA	B.1.525	Complete	29748	High	0/0/-/-/-	Homo sapiens	2021-04-14	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27276	MZ500509.1	SARS-CoV-2/human/USA/WV118575/2021	GenBank	NA	B.1.525	Complete	29800	High	0/0/-/-/-	Homo sapiens	2021-04-13	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27277	MZ500510.1	SARS-CoV-2/human/USA/WV118576/2021	GenBank	NA	B.1.525	Complete	29826	High	0/0/-/-/-	Homo sapiens	2021-04-13	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27278	MZ500514.1	SARS-CoV-2/human/USA/WV118580/2021	GenBank	NA	B.1.525	Complete	29801	High	0/0/-/-/-	Homo sapiens	2021-04-12	United States / West Virginia	 	2021-07-06	 	2021-07-08 01:46:48	2021-07-08 01:46:48	eta
27516	MZ512948.1	SARS-CoV-2/human/USA/VSP2917/2021	GenBank	NA	B.1.525	Complete	29879	High	0/0/-/-/-	Homo sapiens	2021-02-05	United States / Pennsylvania / Philadelphia	 	2021-07-07	 	2021-07-08 17:35:17	2021-07-08 17:35:17	eta
27835	MZ530308.1	SARS-CoV-2/human/USA/IN-CDC-QDX26076096/2021	GenBank	NA	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-06-17	United States / Indiana	 	2021-07-09	 	2021-07-11 03:23:06	2021-07-11 03:23:06	eta
27838	MZ530313.1	SARS-CoV-2/human/USA/IN-CDC-QDX26076097/2021	GenBank	NA	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-06-17	United States / Indiana	 	2021-07-09	 	2021-07-11 03:23:06	2021-07-11 03:23:06	eta
4838	MW664409	SARS-CoV-2/human/USA/MD-MDH-1069/2021	GenBank	EPI_ISL_1081256	B.1.526	Complete	29807	High	0/0/-/-/-	Homo sapiens	2021-02-10	United States / MD	 	2021-02-26	 	2021-02-27 12:23:11	2021-03-16 10:46:59	iota
5712	MW708379	SARS-CoV-2/human/USA/WA-CDC-2-3859354/2021	GenBank	EPI_ISL_1094371	B.1.526	Complete	29858	High	0/1/-/-/-	Homo Sapiens	2021-01-21	United States / Washington	WA State Department of Health	2021-02-27	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-03-01 10:09:41	2021-03-16 10:46:59	iota
5813	MW714409	SARS-CoV-2/human/USA/SC-USC-USC5789HA1/2021	GenBank	EPI_ISL_1164855	B.1.526	Complete	29772	High	0/0/-/-/-	Homo Sapiens	2021-02-25	United States / South Carolina / Richland County	Diagnostic Genomics Lab and  Functional Genomics Core University of South Carolina	2021-03-05	Diagnostic Genomics Lab and  Functional Genomics Core, University of South Carolina	2021-03-07 18:45:33	2021-03-16 10:46:59	iota
5942	MW723414	SARS-CoV-2/human/USA/OH-UHTL-126/2021	GenBank	EPI_ISL_1240758,MW742326	B.1.526	Complete	29890	High	0/0/-/-/-	Homo sapiens	2021-02-11	United States / Ohio	 	2021-03-10	 	2021-03-12 08:16:39	2021-06-16 15:43:24	iota
5944	MW723425	SARS-CoV-2/human/USA/OH-UHTL-137/2021	GenBank	EPI_ISL_1240769	B.1.526	Complete	29891	High	0/0/-/-/-	Homo sapiens	2021-03-02	United States / Ohio	 	2021-03-10	 	2021-03-12 08:16:39	2021-04-16 16:44:49	iota
5945	MW723428	SARS-CoV-2/human/USA/OH-UHTL-140/2021	GenBank	EPI_ISL_1240772	B.1.526	Complete	29891	High	0/0/-/-/-	Homo sapiens	2021-03-02	United States / Ohio	 	2021-03-10	 	2021-03-12 08:16:39	2021-04-16 16:44:49	iota
5946	MW724495	SARS-CoV-2/human/USA/OH-UHTL-152/2021	GenBank	EPI_ISL_1240783	B.1.526	Complete	29891	High	0/0/-/-/-	Homo sapiens	2021-03-03	United States / Ohio	 	2021-03-10	 	2021-03-12 08:16:39	2021-04-16 16:44:49	iota
5956	MW725702	SARS-CoV-2/human/USA/FL-BPHL-0939/2021	GenBank	NA	B.1.526	Complete	29775	High	0/0/-/-/-	Homo sapiens	2021-02-15	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	iota
5960	MW725747	SARS-CoV-2/human/USA/FL-BPHL-1012/2021	GenBank	NA	B.1.526	Complete	29807	High	0/0/-/-/-	Homo sapiens	2021-02-15	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	iota
5967	MW725833	SARS-CoV-2/human/USA/FL-BPHL-1106/2021	GenBank	NA	B.1.526	Complete	29820	High	0/0/-/-/-	Homo sapiens	2021-02-22	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	iota
5968	MW725851	SARS-CoV-2/human/USA/FL-BPHL-1124/2021	GenBank	NA	B.1.526	Complete	29783	High	0/0/-/-/-	Homo sapiens	2021-02-24	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	iota
6026	MW729267	SARS-CoV-2/human/USA/OH-UHTL-185/2021	GenBank	EPI_ISL_1240751	B.1.526	Complete	29882	High	0/0/-/-/-	Homo sapiens	2021-03-05	United States / Ohio	 	2021-03-11	 	2021-03-12 08:16:39	2021-04-16 16:44:49	iota
6413	MW743283	SARS-CoV-2/human/USA/SC-COVID21-0117/2021	GenBank	NA	B.1.526	Complete	29811	High	0/0/-/-/-	Homo sapiens	2021-01-27	United States / SC / ANDERSON	 	2021-03-15	 	2021-03-16 07:41:33	2021-03-16 10:46:59	iota
6477	MW750041	SARS-CoV-2/human/USA/MA-Broad_CRSP-01271/2021	GenBank	EPI_ISL_1253822	B.1.526	Complete	29772	High	0/0/-/-/-	Homo sapiens	2021-02-12	United States / Massachusetts	 	2021-03-15	 	2021-03-16 07:41:33	2021-03-17 07:09:06	iota
6480	MW750075	SARS-CoV-2/human/USA/MA-Broad_CRSP-01305/2021	GenBank	EPI_ISL_1253856	B.1.526	Complete	29749	High	0/0/-/-/-	Homo sapiens	2021-02-16	United States / Massachusetts	 	2021-03-15	 	2021-03-16 07:41:33	2021-03-17 07:09:06	iota
6482	MW750090	SARS-CoV-2/human/USA/MA-Broad_CRSP-01321/2021	GenBank	EPI_ISL_1253870	B.1.526	Complete	29772	High	0/0/-/-/-	Homo sapiens	2021-02-08	United States / Massachusetts	 	2021-03-15	 	2021-03-16 07:41:33	2021-03-17 07:09:07	iota
6489	MW750179	SARS-CoV-2/human/USA/RI-Broad_RIDOH-00431/2021	GenBank	EPI_ISL_1254006	B.1.526	Complete	29809	High	0/0/-/-/-	Homo sapiens	2021-02-20	United States / Rhode Island	 	2021-03-15	 	2021-03-16 07:41:33	2021-03-17 07:09:06	iota
6499	MW751578	SARS-CoV-2/human/USA/MD-MDH-1245/2021	GenBank	EPI_ISL_1238816	B.1.526	Complete	29824	High	0/0/-/-/-	Homo Sapiens	2021-03-04	United States / Maryland	MD PHL	2021-03-13	MD PHL	2021-03-16 07:41:33	2021-03-17 07:10:52	iota
6500	MW751582	SARS-CoV-2/human/USA/MD-MDH-1249/2021	GenBank	EPI_ISL_1238820	B.1.526	Complete	29837	High	0/0/-/-/-	Homo Sapiens	2021-03-04	United States / Maryland	MD PHL	2021-03-13	MD PHL	2021-03-16 07:41:33	2021-03-17 07:10:56	iota
6505	MW751621	SARS-CoV-2/human/USA/MD-MDH-1288/2021	GenBank	EPI_ISL_1272208	B.1.526	Complete	29805	High	0/0/-/-/-	Homo sapiens	2021-03-03	United States / MD	 	2021-03-16	 	2021-03-17 10:40:23	2021-03-20 13:02:30	iota
6569	MW763133	SARS-CoV-2/human/USA/KACH7118/2021	GenBank	NA	B.1.526	Complete	29855	High	10/0/-/-/-	Homo sapiens	2021-03-01	United States / New York / Orange County	 	2021-03-17	 	2021-03-19 11:22:10	2021-03-19 11:22:10	iota
6575	MW763200	SARS-CoV-2/human/USA/TX-DSHS-3551/2021	GenBank	EPI_ISL_1261603	B.1.526	Complete	29713	High	0/0/-/-/-	Homo sapiens	2021-02-08	United States / TX	 	2021-03-17	 	2021-03-19 11:22:10	2021-03-19 11:22:10	iota
6736	MW768002	SARS-CoV-2/human/USA/SC-COVID21-0652/2021	GenBank	NA	B.1.526	Complete	29806	High	0/0/-/-/-	Homo sapiens	2021-02-24	United States / SC / AIKEN	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-20 18:17:36	iota
6743	MW768077	SARS-CoV-2/human/USA/SC-COVID21-0762/2021	GenBank	NA	B.1.526	Complete	29830	High	0/0/-/-/-	Homo sapiens	2021-03-01	United States / SC / CLARENDON	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-20 18:17:36	iota
6803	MW772423	SARS-CoV-2/human/USA/SC-COVID21-0794/2021	GenBank	NA	B.1.526	Complete	29822	High	0/0/-/-/-	Homo sapiens	2021-03-02	United States / SC / LEXINGTON	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-20 18:17:36	iota
7428	MW793558	SARS-CoV-2/human/USA/CO-CDPHE-2100505896/2021	GenBank	EPI_ISL_1300078	B.1.526	Complete	29771	High	0/1/-/-/-	Homo Sapiens	2021-02-25	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-19	Colorado Department of Public Health and Environment	2021-03-22 04:07:24	2021-03-24 13:32:51	iota
7429	MW793561	SARS-CoV-2/human/USA/CO-CDPHE-2100545389/2021	GenBank	EPI_ISL_1300122	B.1.526	Complete	29785	High	0/0/-/-/-	Homo Sapiens	2021-03-04	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-19	Colorado Department of Public Health and Environment	2021-03-22 04:07:24	2021-03-24 13:32:33	iota
7494	MW796748	SARS-CoV-2/human/USA/CO-CDPHE-2100498878/2021	GenBank	EPI_ISL_1234121	B.1.526	Complete	29712	High	1/0/-/-/-	Homo Sapiens	2021-02-18	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-13	Colorado Department of Public Health and Environment	2021-03-16 07:41:33	2021-03-24 13:33:05	iota
7508	MW796930	SARS-CoV-2/human/USA/CO-CDPHE-2100541273/2021	GenBank	EPI_ISL_1234310	B.1.526	Complete	29775	High	0/0/-/-/-	Homo Sapiens	2021-03-01	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-13	Colorado Department of Public Health and Environment	2021-03-16 07:41:33	2021-03-24 13:32:45	iota
7514	MW796984	SARS-CoV-2/human/USA/CO-CDPHE-2100557307/2021	GenBank	EPI_ISL_1234364	B.1.526	Complete	29797	High	0/0/-/-/-	Homo Sapiens	2021-03-02	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-13	Colorado Department of Public Health and Environment	2021-03-16 07:41:33	2021-03-24 13:32:41	iota
7734	MW809036	SARS-CoV-2/human/USA/MD-MDH-1366/2021	GenBank	EPI_ISL_1336321	B.1.526	Complete	29824	High	0/0/-/-/-	Homo sapiens	2021-03-09	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	iota
7736	MW809048	SARS-CoV-2/human/USA/MD-MDH-1378/2021	GenBank	EPI_ISL_1336322	B.1.526	Complete	29795	High	0/0/-/-/-	Homo sapiens	2021-03-05	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	iota
7737	MW809052	SARS-CoV-2/human/USA/MD-MDH-1382/2021	GenBank	EPI_ISL_1336323	B.1.526	Complete	29805	High	0/0/-/-/-	Homo sapiens	2021-03-11	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	iota
7850	MW820257	SARS-CoV-2/human/USA/NMDOH-2021075182/2021	GenBank	EPI_ISL_1340906	B.1.526	Complete	29769	High	0/0/-/-/-	Homo Sapiens	2021-03-08	United States / New Mexico	New Mexico Department of Health Scientific Laboratory	2021-03-25	New Mexico Department of Health Scientific Laboratory	2021-03-27 23:11:51	2021-03-30 03:30:51	iota
