MZ535931.1 alpha_MZ535931.1
MZ430663.1 alpha_MZ430663.1
MW967625 alpha_MW967625
MW988253 alpha_MW988253
MZ307746 alpha_MZ307746
MZ185660 alpha_MZ185660
MW931120 alpha_MW931120
MW990512 alpha_MW990512
FR998815 alpha_FR998815
MZ415218.1 alpha_MZ415218.1
MZ071921 alpha_MZ071921
MZ449091.1 alpha_MZ449091.1
MZ045027 alpha_MZ045027
MZ158731 alpha_MZ158731
MZ354291 alpha_MZ354291
MW908955 alpha_MW908955
MW967775 alpha_MW967775
MZ211029 alpha_MZ211029
MZ253841 alpha_MZ253841
MZ294339 alpha_MZ294339
MZ455338.1 alpha_MZ455338.1
MZ390118 alpha_MZ390118
MZ142431 alpha_MZ142431
MZ156658 alpha_MZ156658
MZ023907 alpha_MZ023907
MZ290436 alpha_MZ290436
MZ455266.1 alpha_MZ455266.1
MZ034214 alpha_MZ034214
MZ316146 alpha_MZ316146
MZ353793 alpha_MZ353793
MZ448680.1 alpha_MZ448680.1
MZ163344 alpha_MZ163344
MZ006631 alpha_MZ006631
MZ497708.1 alpha_MZ497708.1
FR991701 alpha_FR991701
MZ074759 alpha_MZ074759
MZ360256 alpha_MZ360256
MZ213575 alpha_MZ213575
MZ075049 alpha_MZ075049
MZ486488.1 alpha_MZ486488.1
MZ539297.1 alpha_MZ539297.1
MZ210732 alpha_MZ210732
MZ376498 alpha_MZ376498
MZ214815 alpha_MZ214815
MZ386617 alpha_MZ386617
MZ132852 alpha_MZ132852
MZ316510 alpha_MZ316510
MZ152999 alpha_MZ152999
MZ390628 alpha_MZ390628
MZ169366 alpha_MZ169366
MZ274750 alpha_MZ274750
MZ432666.1 alpha_MZ432666.1
MZ533344.1 alpha_MZ533344.1
MW907350 alpha_MW907350
MW894199 alpha_MW894199
MZ450438.1 alpha_MZ450438.1
MZ228057 alpha_MZ228057
MZ168374 alpha_MZ168374
MZ000072 alpha_MZ000072
MZ360087 alpha_MZ360087
MZ328491 alpha_MZ328491
MZ288159 alpha_MZ288159
MZ132104 alpha_MZ132104
MZ321157 alpha_MZ321157
MZ034902 alpha_MZ034902
MW844959 alpha_MW844959
MZ499061.1 alpha_MZ499061.1
MZ153745 alpha_MZ153745
MZ538657.1 alpha_MZ538657.1
MZ131990 alpha_MZ131990
MZ308128 alpha_MZ308128
MZ072584 alpha_MZ072584
MZ329269 alpha_MZ329269
MZ237513 alpha_MZ237513
MZ037190 alpha_MZ037190
MZ270775 alpha_MZ270775
MZ410269.1 alpha_MZ410269.1
MZ060517 alpha_MZ060517
MZ056430 alpha_MZ056430
MZ184279 alpha_MZ184279
MZ193080 alpha_MZ193080
MZ185716 alpha_MZ185716
MZ131842 alpha_MZ131842
MZ271688 alpha_MZ271688
MZ280505 alpha_MZ280505
MZ058381 alpha_MZ058381
MW937182 alpha_MW937182
MZ499041.1 alpha_MZ499041.1
MZ390588 alpha_MZ390588
MZ212962 alpha_MZ212962
MZ036389 alpha_MZ036389
MZ244964 alpha_MZ244964
MZ294535 alpha_MZ294535
MZ332528 alpha_MZ332528
MZ008808 alpha_MZ008808
MW964616 alpha_MW964616
MZ294159 alpha_MZ294159
MZ167235 alpha_MZ167235
MZ217377 alpha_MZ217377
MW906261 alpha_MW906261
MZ074385 alpha_MZ074385
MZ566441.1 alpha_MZ566441.1
MZ226066 alpha_MZ226066
MW687180 alpha_MW687180
MZ191476 alpha_MZ191476
MW965988 alpha_MW965988
MW969754.1 alpha_MW969754.1
MZ352981 alpha_MZ352981
MW906195 alpha_MW906195
MZ022424 alpha_MZ022424
MZ030250 alpha_MZ030250
MZ505802.1 alpha_MZ505802.1
MZ210630 alpha_MZ210630
MZ001744 alpha_MZ001744
MZ002051 alpha_MZ002051
MZ164723 alpha_MZ164723
MZ228942 alpha_MZ228942
MZ315604 alpha_MZ315604
MW907651 alpha_MW907651
MZ131846 alpha_MZ131846
MZ284738 alpha_MZ284738
MW804728 alpha_MW804728
MZ538351.1 alpha_MZ538351.1
MZ186207 alpha_MZ186207
MZ448681.1 alpha_MZ448681.1
MZ358498 alpha_MZ358498
MZ512395.1 alpha_MZ512395.1
MZ145458 alpha_MZ145458
MZ161476 alpha_MZ161476
MZ500667.1 alpha_MZ500667.1
MW485378 alpha_MW485378
MZ454828.1 alpha_MZ454828.1
MW909382 alpha_MW909382
MZ373496 alpha_MZ373496
MZ000970 alpha_MZ000970
MZ436871.1 alpha_MZ436871.1
MW841961 alpha_MW841961
MZ455991.1 alpha_MZ455991.1
MZ034632 alpha_MZ034632
MZ084075 alpha_MZ084075
MZ362971 alpha_MZ362971
MZ354387 alpha_MZ354387
MZ173438 alpha_MZ173438
MZ532636.1 alpha_MZ532636.1
MZ475667.1 alpha_MZ475667.1
MZ376301 alpha_MZ376301
FR992939 alpha_FR992939
MZ132251 alpha_MZ132251
FR989618 alpha_FR989618
MZ194087 alpha_MZ194087
MZ280355 alpha_MZ280355
MZ315581 alpha_MZ315581
MZ415962.1 alpha_MZ415962.1
MZ191922 alpha_MZ191922
MZ544751.1 alpha_MZ544751.1
MZ030169 alpha_MZ030169
MZ535926.1 alpha_MZ535926.1
MZ167512 alpha_MZ167512
MW967267 alpha_MW967267
MZ333387 alpha_MZ333387
MZ455916.1 alpha_MZ455916.1
MZ294441 alpha_MZ294441
MZ245178 alpha_MZ245178
MZ166714 alpha_MZ166714
MZ211829 alpha_MZ211829
MZ316907 alpha_MZ316907
MZ075408 alpha_MZ075408
MZ331211 alpha_MZ331211
MZ045041 alpha_MZ045041
MZ186485 alpha_MZ186485
MZ083979 alpha_MZ083979
MZ074106 alpha_MZ074106
MZ161263 alpha_MZ161263
MZ227967 alpha_MZ227967
MZ376584 alpha_MZ376584
MZ132614 alpha_MZ132614
MZ141218 alpha_MZ141218
MZ472007.1 alpha_MZ472007.1
MZ075021 alpha_MZ075021
MZ394412.1 alpha_MZ394412.1
MZ453778.1 alpha_MZ453778.1
MW874886 alpha_MW874886
MZ011446 alpha_MZ011446
MZ397305.1 alpha_MZ397305.1
MZ279278 alpha_MZ279278
MW967473 alpha_MW967473
MZ003051 alpha_MZ003051
MZ152481 alpha_MZ152481
MZ497861.1 alpha_MZ497861.1
MW869193 alpha_MW869193
MZ025191 alpha_MZ025191
MZ193577 alpha_MZ193577
MZ011354 alpha_MZ011354
MZ061152 alpha_MZ061152
MZ214970 alpha_MZ214970
MW721477 alpha_MW721477
MZ171285 alpha_MZ171285
MZ210132 alpha_MZ210132
FR991724 alpha_FR991724
MZ037232 alpha_MZ037232
MZ035868 alpha_MZ035868
MZ181352 alpha_MZ181352
MZ160368 alpha_MZ160368
MZ284609 alpha_MZ284609
FR992189 alpha_FR992189
MZ149677 alpha_MZ149677
MZ186241 alpha_MZ186241
MZ232765 alpha_MZ232765
MZ154526 alpha_MZ154526
MZ279450 alpha_MZ279450
MW966493 alpha_MW966493
MZ012271 alpha_MZ012271
MZ307393 alpha_MZ307393
MZ415586.1 alpha_MZ415586.1
MZ181896 alpha_MZ181896
MZ415922.1 alpha_MZ415922.1
MZ432143.1 alpha_MZ432143.1
MZ030075 alpha_MZ030075
MZ279072 alpha_MZ279072
MW959971 alpha_MW959971
MZ195812 alpha_MZ195812
MZ006800 alpha_MZ006800
MZ213609 alpha_MZ213609
MZ375621 alpha_MZ375621
MZ181457 alpha_MZ181457
MZ060154 alpha_MZ060154
MZ308135 alpha_MZ308135
MZ206287 alpha_MZ206287
MZ307485 alpha_MZ307485
MW869500 alpha_MW869500
MZ281691 alpha_MZ281691
MZ217881 alpha_MZ217881
MZ354273 alpha_MZ354273
MZ444568.1 alpha_MZ444568.1
MZ007320 alpha_MZ007320
MZ354411 alpha_MZ354411
MZ322786 alpha_MZ322786
MZ432239.1 alpha_MZ432239.1
MZ189102 alpha_MZ189102
MW963947 alpha_MW963947
MZ433666.1 alpha_MZ433666.1
MW911338 alpha_MW911338
MZ210151 alpha_MZ210151
MW912157 alpha_MW912157
MZ471657.1 alpha_MZ471657.1
MW930001 alpha_MW930001
MZ022406 alpha_MZ022406
MZ160356 alpha_MZ160356
MZ188290 alpha_MZ188290
MZ037817 alpha_MZ037817
MW908576 alpha_MW908576
MZ319277 alpha_MZ319277
MZ349523 alpha_MZ349523
MZ501426.1 alpha_MZ501426.1
MZ083698 alpha_MZ083698
MW908432 alpha_MW908432
MW915991 alpha_MW915991
MW803571 alpha_MW803571
MZ025164 alpha_MZ025164
MZ061398 alpha_MZ061398
MZ193834 alpha_MZ193834
MZ244513 alpha_MZ244513
MZ352151 alpha_MZ352151
MW849802 alpha_MW849802
MZ256443 alpha_MZ256443
MW865632 alpha_MW865632
MZ058859 alpha_MZ058859
MZ132734 alpha_MZ132734
MW964806 alpha_MW964806
MZ244965 alpha_MZ244965
MZ165893 alpha_MZ165893
MZ186711 alpha_MZ186711
MW905859 alpha_MW905859
MW865699 alpha_MW865699
MW712875 alpha_MW712875
MZ082965 alpha_MZ082965
MZ270499 alpha_MZ270499
MW959375 alpha_MW959375
MW872681 alpha_MW872681
MZ083552 alpha_MZ083552
MZ165837 alpha_MZ165837
MZ321122 alpha_MZ321122
MZ398783.1 alpha_MZ398783.1
MZ371746 alpha_MZ371746
MZ386360 alpha_MZ386360
MZ083715 alpha_MZ083715
MZ304904 alpha_MZ304904
MZ025459 alpha_MZ025459
MZ100935 alpha_MZ100935
MZ195399 alpha_MZ195399
MZ133328 alpha_MZ133328
MW994621 alpha_MW994621
MZ131488 alpha_MZ131488
MZ394602.1 alpha_MZ394602.1
MW968393 alpha_MW968393
MZ401754.1 alpha_MZ401754.1
MZ038727 alpha_MZ038727
MZ166581 alpha_MZ166581
MZ323767 alpha_MZ323767
MZ386031 alpha_MZ386031
MZ194040 alpha_MZ194040
MZ085781 alpha_MZ085781
MZ212603 alpha_MZ212603
MZ538036.1 alpha_MZ538036.1
MZ555227.1 alpha_MZ555227.1
MZ244570 alpha_MZ244570
MZ498177.1 alpha_MZ498177.1
MZ413523.1 alpha_MZ413523.1
MZ060796 alpha_MZ060796
MZ082971 alpha_MZ082971
MZ499361.1 alpha_MZ499361.1
MZ284565 alpha_MZ284565
MZ281261 alpha_MZ281261
MZ058954 alpha_MZ058954
MZ349279 alpha_MZ349279
MZ039310 alpha_MZ039310
MZ194341 alpha_MZ194341
MZ448827.1 alpha_MZ448827.1
MW914397 alpha_MW914397
MZ058561 alpha_MZ058561
FR992994 alpha_FR992994
MZ008880 alpha_MZ008880
MZ013818 alpha_MZ013818
MZ320288 alpha_MZ320288
MZ280377 alpha_MZ280377
MZ185881 alpha_MZ185881
MZ001378 alpha_MZ001378
MZ009510 alpha_MZ009510
MZ318904 alpha_MZ318904
MW583430 alpha_MW583430
MZ255567 alpha_MZ255567
MZ015110 alpha_MZ015110
MZ164665 alpha_MZ164665
MZ279412 alpha_MZ279412
MW715274 alpha_MW715274
MZ101292 alpha_MZ101292
MZ211886 alpha_MZ211886
MZ454885.1 alpha_MZ454885.1
MZ280161 alpha_MZ280161
MZ360701 alpha_MZ360701
MZ535135.1 alpha_MZ535135.1
MZ340905 alpha_MZ340905
MZ131017 alpha_MZ131017
MZ145318 alpha_MZ145318
MZ156720 alpha_MZ156720
MW968890 alpha_MW968890
MZ295826 alpha_MZ295826
MZ397488.1 alpha_MZ397488.1
MW963687 alpha_MW963687
MZ032337 alpha_MZ032337
MZ010900 alpha_MZ010900
MZ307963 alpha_MZ307963
MZ467928.1 alpha_MZ467928.1
MW803489 alpha_MW803489
MZ341341 alpha_MZ341341
MZ261169 alpha_MZ261169
MZ168395 alpha_MZ168395
MZ210084 alpha_MZ210084
MZ058505 alpha_MZ058505
MZ225971 alpha_MZ225971
MZ362936 alpha_MZ362936
MZ038846 alpha_MZ038846
MW968255 alpha_MW968255
MZ530641.1 alpha_MZ530641.1
MW840812 alpha_MW840812
MZ239627 alpha_MZ239627
MZ245076 alpha_MZ245076
MZ512642.1 alpha_MZ512642.1
MZ283706 alpha_MZ283706
MW864911 alpha_MW864911
MW908029 alpha_MW908029
MZ190320 alpha_MZ190320
MZ245234 alpha_MZ245234
MW992849 alpha_MW992849
MZ166323 alpha_MZ166323
MZ253371 alpha_MZ253371
MZ193525 alpha_MZ193525
MZ008956 alpha_MZ008956
MZ023336 alpha_MZ023336
MZ304739 alpha_MZ304739
MZ086214 alpha_MZ086214
MZ202027 alpha_MZ202027
MZ059840 alpha_MZ059840
MW912531 alpha_MW912531
MZ237879 alpha_MZ237879
MZ006356 alpha_MZ006356
MZ306529 alpha_MZ306529
MZ472060.1 alpha_MZ472060.1
MZ036326 alpha_MZ036326
MW807783 alpha_MW807783
MZ378403 alpha_MZ378403
MZ414707.1 alpha_MZ414707.1
MZ158897 alpha_MZ158897
MZ132587 alpha_MZ132587
MZ277396 alpha_MZ277396
MZ354215 alpha_MZ354215
MZ059113 alpha_MZ059113
MZ254152 alpha_MZ254152
MZ274484 alpha_MZ274484
MZ233574 alpha_MZ233574
MW969002 alpha_MW969002
MZ023017 alpha_MZ023017
MZ161593 alpha_MZ161593
MZ390188 alpha_MZ390188
MZ307815 alpha_MZ307815
MW912149 alpha_MW912149
MZ319280 alpha_MZ319280
MW963915 alpha_MW963915
MZ213274 alpha_MZ213274
MZ187394 alpha_MZ187394
MW913938 alpha_MW913938
MZ214248 alpha_MZ214248
MZ203372 alpha_MZ203372
MZ520957.1 alpha_MZ520957.1
MZ535601.1 alpha_MZ535601.1
MZ002353 alpha_MZ002353
MZ133193 alpha_MZ133193
MZ181927 alpha_MZ181927
MW969588.1 alpha_MW969588.1
MW914522 alpha_MW914522
MZ201947 alpha_MZ201947
MZ315214 alpha_MZ315214
MZ184592 alpha_MZ184592
MZ142235 alpha_MZ142235
MZ184209 alpha_MZ184209
MZ213743 alpha_MZ213743
MZ280249 alpha_MZ280249
MW966124 alpha_MW966124
MZ375912 alpha_MZ375912
MW914327 alpha_MW914327
MZ141242 alpha_MZ141242
MZ070839 alpha_MZ070839
MW912102 alpha_MW912102
MZ071039 alpha_MZ071039
MZ201519 alpha_MZ201519
MW988618 alpha_MW988618
MZ252291 alpha_MZ252291
MW963870 alpha_MW963870
MZ363334 alpha_MZ363334
MZ255580 alpha_MZ255580
MZ282913 alpha_MZ282913
MZ279335 alpha_MZ279335
MZ462794.1 alpha_MZ462794.1
MZ390007 alpha_MZ390007
MZ187371 alpha_MZ187371
MZ328799 alpha_MZ328799
MZ179926 alpha_MZ179926
MZ293926 alpha_MZ293926
MZ340779 alpha_MZ340779
MW930975 alpha_MW930975
MZ210776 alpha_MZ210776
MZ036422 alpha_MZ036422
MW850574 alpha_MW850574
MZ410110.1 alpha_MZ410110.1
MW844942 alpha_MW844942
MZ003004 alpha_MZ003004
MZ059795 alpha_MZ059795
MZ090393 alpha_MZ090393
MZ001234 alpha_MZ001234
MZ211531 alpha_MZ211531
MZ268332 alpha_MZ268332
MZ279496 alpha_MZ279496
MZ184516 alpha_MZ184516
MZ228503 alpha_MZ228503
MZ237802 alpha_MZ237802
MW842071 alpha_MW842071
MZ184089 alpha_MZ184089
MZ354792 alpha_MZ354792
MW967030 alpha_MW967030
MW992909 alpha_MW992909
MZ254562 alpha_MZ254562
MZ214016 alpha_MZ214016
MZ172173 alpha_MZ172173
MZ156744 alpha_MZ156744
MZ245251 alpha_MZ245251
MZ082603 alpha_MZ082603
MZ186904 alpha_MZ186904
MZ316136 alpha_MZ316136
MZ140821 alpha_MZ140821
MZ390531 alpha_MZ390531
MW969165 alpha_MW969165
MW803601 alpha_MW803601
MZ255924 alpha_MZ255924
MZ467929.1 alpha_MZ467929.1
MZ203374 alpha_MZ203374
FR993025 alpha_FR993025
MZ035337 alpha_MZ035337
MZ321513 alpha_MZ321513
MZ306234 alpha_MZ306234
MZ354706 alpha_MZ354706
MW713661 alpha_MW713661
MZ182052 alpha_MZ182052
FR992002 alpha_FR992002
MZ037277 alpha_MZ037277
MZ213605 alpha_MZ213605
MZ537972.1 alpha_MZ537972.1
MZ089664 alpha_MZ089664
MZ193938 alpha_MZ193938
MZ238670 alpha_MZ238670
MZ253734 alpha_MZ253734
MZ390023 alpha_MZ390023
MZ060975 alpha_MZ060975
MZ152558 alpha_MZ152558
MZ233215 alpha_MZ233215
MZ083916 alpha_MZ083916
MZ142293 alpha_MZ142293
MZ238650 alpha_MZ238650
MW518824 alpha_MW518824
MZ290784 alpha_MZ290784
MW909051 alpha_MW909051
MZ202126 alpha_MZ202126
MZ253590 alpha_MZ253590
MZ214054 alpha_MZ214054
MZ056402 alpha_MZ056402
MZ013748 alpha_MZ013748
MZ270253 alpha_MZ270253
MZ410100.1 alpha_MZ410100.1
MZ454877.1 alpha_MZ454877.1
MZ163885 alpha_MZ163885
MW864653 alpha_MW864653
MZ172228 alpha_MZ172228
MZ454778.1 alpha_MZ454778.1
MZ143157 alpha_MZ143157
MW990828 alpha_MW990828
MZ185582 alpha_MZ185582
MW773614 alpha_MW773614
MW969480 alpha_MW969480
MZ055995 alpha_MZ055995
MW959528 alpha_MW959528
MZ038431 alpha_MZ038431
MW929932 alpha_MW929932
MZ004783 alpha_MZ004783
MZ090221 alpha_MZ090221
MZ296612 alpha_MZ296612
MZ035486 alpha_MZ035486
MZ398951.1 alpha_MZ398951.1
MW906322 alpha_MW906322
MW984493 alpha_MW984493
MZ039705 alpha_MZ039705
MZ320122 alpha_MZ320122
MZ530383.1 alpha_MZ530383.1
MZ531252.1 alpha_MZ531252.1
MW877242 alpha_MW877242
MZ284829 alpha_MZ284829
MZ401822.1 alpha_MZ401822.1
FR990988 alpha_FR990988
MZ191950 alpha_MZ191950
MZ376761 alpha_MZ376761
MZ186184 alpha_MZ186184
MZ500960.1 alpha_MZ500960.1
MZ354354 alpha_MZ354354
MZ539120.1 alpha_MZ539120.1
MZ002925 alpha_MZ002925
MZ293670 alpha_MZ293670
MW735440 alpha_MW735440
MZ025567 alpha_MZ025567
MZ255490 alpha_MZ255490
MZ454633.1 alpha_MZ454633.1
MZ530297.1 alpha_MZ530297.1
MZ337104 alpha_MZ337104
MZ498897.1 alpha_MZ498897.1
MZ007287 alpha_MZ007287
MZ082504 alpha_MZ082504
MZ511682.1 alpha_MZ511682.1
MZ213002 alpha_MZ213002
MZ434084.1 alpha_MZ434084.1
MZ398003.1 alpha_MZ398003.1
HG998822 alpha_HG998822
MW989254 alpha_MW989254
MZ184576 alpha_MZ184576
MZ100548 alpha_MZ100548
FR992232 alpha_FR992232
MZ349862 alpha_MZ349862
MZ179521 alpha_MZ179521
MZ278827 alpha_MZ278827
MZ009589 alpha_MZ009589
MZ030379 alpha_MZ030379
MZ321551 alpha_MZ321551
MZ354597 alpha_MZ354597
MZ153478 alpha_MZ153478
MZ213519 alpha_MZ213519
MZ161700 alpha_MZ161700
MZ349770 alpha_MZ349770
MZ085847 alpha_MZ085847
MZ074698 alpha_MZ074698
MZ152304 alpha_MZ152304
MZ187193 alpha_MZ187193
MZ186708 alpha_MZ186708
MZ054920 alpha_MZ054920
MZ187956 alpha_MZ187956
MW796822 alpha_MW796822
MZ236900 alpha_MZ236900
MZ232935 alpha_MZ232935
MZ035429 alpha_MZ035429
MZ069578 alpha_MZ069578
MZ454627.1 alpha_MZ454627.1
MZ167510 alpha_MZ167510
MZ142337 alpha_MZ142337
MZ161630 alpha_MZ161630
MZ188946 alpha_MZ188946
FR991699 alpha_FR991699
MZ060351 alpha_MZ060351
MZ015259 alpha_MZ015259
MZ202175 alpha_MZ202175
MZ252588 alpha_MZ252588
MZ431960.1 alpha_MZ431960.1
MZ211554 alpha_MZ211554
MZ100856 alpha_MZ100856
MZ284144 alpha_MZ284144
MZ012376 alpha_MZ012376
MZ498863.1 alpha_MZ498863.1
MZ533170.1 alpha_MZ533170.1
MZ195168 alpha_MZ195168
MZ201978 alpha_MZ201978
MZ341020 alpha_MZ341020
MW965125 alpha_MW965125
MZ358661 alpha_MZ358661
MZ002014 alpha_MZ002014
MZ467850.1 alpha_MZ467850.1
MZ013208 alpha_MZ013208
MZ538043.1 alpha_MZ538043.1
MZ038305 alpha_MZ038305
MZ282687 alpha_MZ282687
MW969337 alpha_MW969337
MZ336959 alpha_MZ336959
MW963512 alpha_MW963512
MZ244499 alpha_MZ244499
MW781876 alpha_MW781876
MZ161573 alpha_MZ161573
MZ194133 alpha_MZ194133
MZ003588 alpha_MZ003588
MZ275201 alpha_MZ275201
MZ141067 alpha_MZ141067
MZ192375 alpha_MZ192375
MZ002385 alpha_MZ002385
MZ056428 alpha_MZ056428
MZ143136 alpha_MZ143136
MZ307387 alpha_MZ307387
MZ058952 alpha_MZ058952
MW816550 alpha_MW816550
MZ226209 alpha_MZ226209
MZ257683 alpha_MZ257683
MZ060767 alpha_MZ060767
MZ281919 alpha_MZ281919
MZ518662.1 alpha_MZ518662.1
MZ386636 alpha_MZ386636
MW963872 alpha_MW963872
MZ083097 alpha_MZ083097
MZ183944 alpha_MZ183944
MZ434491.1 alpha_MZ434491.1
MW848904 alpha_MW848904
MZ390369 alpha_MZ390369
MZ455074.1 alpha_MZ455074.1
MZ060580 alpha_MZ060580
MZ164205 alpha_MZ164205
MZ304767 alpha_MZ304767
MZ278382 alpha_MZ278382
MZ415318.1 alpha_MZ415318.1
MZ402056.1 alpha_MZ402056.1
MZ535644.1 alpha_MZ535644.1
MZ072162 alpha_MZ072162
MZ240418 alpha_MZ240418
MZ172006 alpha_MZ172006
MZ171956 alpha_MZ171956
MZ170438 alpha_MZ170438
MZ233051 alpha_MZ233051
MZ280659 alpha_MZ280659
FR992838 alpha_FR992838
MZ253957 alpha_MZ253957
MZ238561 alpha_MZ238561
MZ029291 alpha_MZ029291
MZ193629 alpha_MZ193629
MZ530900.1 alpha_MZ530900.1
MZ237130 alpha_MZ237130
MZ399090.1 alpha_MZ399090.1
MW905514 alpha_MW905514
MZ211898 alpha_MZ211898
MZ141043 alpha_MZ141043
MZ280065 alpha_MZ280065
MZ163367 alpha_MZ163367
MZ237676 alpha_MZ237676
MW993278 alpha_MW993278
MW907916 alpha_MW907916
MZ236892 alpha_MZ236892
MZ059043 alpha_MZ059043
MZ084349 alpha_MZ084349
MZ083642 alpha_MZ083642
MW807907 alpha_MW807907
MZ185863 alpha_MZ185863
MW931284 alpha_MW931284
MZ202437 alpha_MZ202437
MW751494 alpha_MW751494
MZ207545 alpha_MZ207545
MZ279341 alpha_MZ279341
MZ377969 alpha_MZ377969
MZ153576 alpha_MZ153576
MZ243410 alpha_MZ243410
MW864713 alpha_MW864713
MW905678 alpha_MW905678
MZ003244 alpha_MZ003244
MW803436 alpha_MW803436
MZ007239 alpha_MZ007239
MZ316251 alpha_MZ316251
MZ003859 alpha_MZ003859
MZ270344 alpha_MZ270344
MW626465 alpha_MW626465
MZ061122 alpha_MZ061122
MZ341001 alpha_MZ341001
MZ487784.1 alpha_MZ487784.1
MZ232648 alpha_MZ232648
MZ194643 alpha_MZ194643
MZ195757 alpha_MZ195757
MW776882 alpha_MW776882
MZ211917 alpha_MZ211917
MZ237813 alpha_MZ237813
MW907801 alpha_MW907801
MZ023491 alpha_MZ023491
MZ085345 alpha_MZ085345
MZ333348 alpha_MZ333348
MZ035864 alpha_MZ035864
MZ188174 alpha_MZ188174
MZ170475 alpha_MZ170475
MW969488 alpha_MW969488
MZ283684 alpha_MZ283684
MZ184510 alpha_MZ184510
MZ431867.1 alpha_MZ431867.1
MZ073812 alpha_MZ073812
MZ237935 alpha_MZ237935
MZ341887 alpha_MZ341887
MZ397436.1 alpha_MZ397436.1
MZ146213 alpha_MZ146213
MZ142304 alpha_MZ142304
MZ244526 alpha_MZ244526
MZ034896 alpha_MZ034896
MZ386451 alpha_MZ386451
MZ498199.1 alpha_MZ498199.1
MZ259649 alpha_MZ259649
MZ068585 alpha_MZ068585
MZ512767.1 alpha_MZ512767.1
MZ316265 alpha_MZ316265
MZ244880 alpha_MZ244880
MZ217348 alpha_MZ217348
MZ011190 alpha_MZ011190
MZ244872 alpha_MZ244872
MW713648 alpha_MW713648
MZ069551 alpha_MZ069551
MZ156953 alpha_MZ156953
MW869072 alpha_MW869072
MZ410065.1 alpha_MZ410065.1
MZ492003.1 alpha_MZ492003.1
MW907614 alpha_MW907614
MZ454467.1 alpha_MZ454467.1
MZ307376 alpha_MZ307376
MZ531291.1 alpha_MZ531291.1
HG998410 alpha_HG998410
MW905772 alpha_MW905772
MZ075673 alpha_MZ075673
MZ255457 alpha_MZ255457
MZ099925 alpha_MZ099925
MW969411 alpha_MW969411
MZ143319 alpha_MZ143319
MW791716 alpha_MW791716
MW908354 alpha_MW908354
MZ319352 alpha_MZ319352
MZ280888 alpha_MZ280888
MZ036344 alpha_MZ036344
MZ060839 alpha_MZ060839
MZ252556 alpha_MZ252556
MW773833 alpha_MW773833
MW906227 alpha_MW906227
MZ328933 alpha_MZ328933
MW913939 alpha_MW913939
MZ001186 alpha_MZ001186
MZ451578.1 alpha_MZ451578.1
MZ101783 alpha_MZ101783
MW842290 alpha_MW842290
MW703428 alpha_MW703428
MZ238671 alpha_MZ238671
MW990448 alpha_MW990448
MZ293943 alpha_MZ293943
MZ397480.1 alpha_MZ397480.1
MZ044501 alpha_MZ044501
MZ146087 alpha_MZ146087
MZ315533 alpha_MZ315533
MW904604 alpha_MW904604
MZ030195 alpha_MZ030195
MZ037576 alpha_MZ037576
MZ192747 alpha_MZ192747
MZ047410 alpha_MZ047410
MZ015289 alpha_MZ015289
MZ500664.1 alpha_MZ500664.1
MZ054806 alpha_MZ054806
MZ084792 alpha_MZ084792
MZ470771.1 alpha_MZ470771.1
MW906505 alpha_MW906505
MZ237862 alpha_MZ237862
MZ337250 alpha_MZ337250
MZ023307 alpha_MZ023307
MZ377640 alpha_MZ377640
MW959517 alpha_MW959517
MZ082593 alpha_MZ082593
MZ304948 alpha_MZ304948
MW840957 alpha_MW840957
MW807925 alpha_MW807925
MZ533506.1 alpha_MZ533506.1
MW994683 alpha_MW994683
MZ494094.1 alpha_MZ494094.1
MZ083081 alpha_MZ083081
MZ237173 alpha_MZ237173
MZ047437 alpha_MZ047437
MZ181093 alpha_MZ181093
MZ341329 alpha_MZ341329
MZ022710 alpha_MZ022710
MZ164293 alpha_MZ164293
MW913808 alpha_MW913808
MW990435 alpha_MW990435
MZ036332 alpha_MZ036332
MZ531065.1 alpha_MZ531065.1
MZ100178 alpha_MZ100178
MZ212649 alpha_MZ212649
MZ000239 alpha_MZ000239
MZ188243 alpha_MZ188243
MZ493540.1 alpha_MZ493540.1
MW964066 alpha_MW964066
MZ152627 alpha_MZ152627
MW993497 alpha_MW993497
MZ076097 alpha_MZ076097
MZ415019.1 alpha_MZ415019.1
MZ238257 alpha_MZ238257
MZ006892 alpha_MZ006892
MZ231794 alpha_MZ231794
MZ282586 alpha_MZ282586
MZ288319 alpha_MZ288319
MZ320753 alpha_MZ320753
MZ213050 alpha_MZ213050
MZ184202 alpha_MZ184202
MZ518528.1 alpha_MZ518528.1
MZ076178 alpha_MZ076178
MW989092 alpha_MW989092
MZ153847 alpha_MZ153847
MZ195087 alpha_MZ195087
LR898540 alpha_LR898540
MW913474 alpha_MW913474
MZ530134.1 alpha_MZ530134.1
MZ538202.1 alpha_MZ538202.1
MZ036036 alpha_MZ036036
MZ163981 alpha_MZ163981
MZ030181 alpha_MZ030181
MZ279628 alpha_MZ279628
MZ316070 alpha_MZ316070
MW914251 alpha_MW914251
MZ207730 alpha_MZ207730
MZ166339 alpha_MZ166339
MW960444 alpha_MW960444
MW877111 alpha_MW877111
MZ306056 alpha_MZ306056
MZ212164 alpha_MZ212164
MZ002809 alpha_MZ002809
MZ179573 alpha_MZ179573
MZ372073 alpha_MZ372073
MZ085115 alpha_MZ085115
MZ217191 alpha_MZ217191
MZ291110 alpha_MZ291110
MZ497982.1 alpha_MZ497982.1
