Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0026/2021	EPI_ISL_1351474	GISAID		B.1.1.519	Complete	29865	Low	702/0/NA/NA/NA	Homo Sapiens	2021-02-21	Mexico / Quintana Roo	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0027/2021	EPI_ISL_1351477	GISAID		B.1.1.519	Complete	29866	Low	91/0/NA/NA/NA	Homo Sapiens	2021-02-21	Mexico / Quintana Roo	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0028/2021	EPI_ISL_1351480	GISAID		B.1.1.519	Complete	29866	Low	548/0/NA/NA/NA	Homo Sapiens	2021-02-23	Mexico / Yucatan	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0029/2021	EPI_ISL_1351483	GISAID		B.1.1.519	Complete	29866	Low	552/0/NA/NA/NA	Homo Sapiens	2021-02-21	Mexico / Quintana Roo	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0030/2021	EPI_ISL_1351486	GISAID		B.1.1.519	Complete	29865	Low	276/0/NA/NA/NA	Homo Sapiens	2021-02-24	Mexico / Yucatan	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0031/2021	EPI_ISL_1351489	GISAID		B.1.1.519	Complete	29866	High	0/0/-/-/-	Homo Sapiens	2021-02-22	Mexico / Quintana Roo	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0032/2021	EPI_ISL_1351492	GISAID		B.1.1.222	Complete	29852	Low	700/0/NA/NA/NA	Homo Sapiens	2021-02-25	Mexico / Yucatan	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0033/2021	EPI_ISL_1351494	GISAID		B.1.1.222	Complete	29873	High	0/0/-/-/-	Homo Sapiens	2021-02-22	Mexico / Tabasco	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0034/2021	EPI_ISL_1351498	GISAID		B.1.1.222	Complete	29870	Low	182/0/NA/NA/NA	Homo Sapiens	2021-02-22	Mexico / Tabasco	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0035/2021	EPI_ISL_1351500	GISAID		B.1.1.222	Complete	29866	Low	172/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Yucatan	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0036/2021	EPI_ISL_1351503	GISAID		B.1.427	Complete	29865	Low	296/0/NA/NA/NA	Homo Sapiens	2021-02-28	Mexico / Quintana Roo	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0037/2021	EPI_ISL_1351506	GISAID		B.1.1.519	Complete	29866	High	0/0/-/-/-	Homo Sapiens	2021-03-01	Mexico / Quintana Roo	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0038/2021	EPI_ISL_1351509	GISAID		B.1.1.519	Complete	29865	Low	20/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Yucatan	Unidad de InvestigaciÃ³n MÃ©dica de YucatÃ¡n (UIMY)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0039/2021	EPI_ISL_1351511	GISAID		B.1.1.519	Complete	29867	Low	60/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0040/2021	EPI_ISL_1351514	GISAID		B.1.427	Complete	29866	Low	177/0/NA/NA/NA	Homo Sapiens	2021-02-24	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0041/2021	EPI_ISL_1351517	GISAID		B.1.1.519	Complete	29864	Low	99/0/NA/NA/NA	Homo Sapiens	2021-03-02	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0042/2021	EPI_ISL_1351520	GISAID		B.1.1.519	Complete	29866	High	2/0/-/-/-	Homo Sapiens	2021-03-01	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0043/2021	EPI_ISL_1351523	GISAID		B.1.1.519	Complete	29865	Low	132/0/NA/NA/NA	Homo Sapiens	2021-02-27	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0044/2021	EPI_ISL_1351526	GISAID		B.1.427/429	Complete	29867	Low	178/0/NA/NA/NA	Homo Sapiens	2021-03-01	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0045/2021	EPI_ISL_1351529	GISAID		B.1.427/429	Complete	29866	Low	177/0/NA/NA/NA	Homo Sapiens	2021-03-01	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0046/2021	EPI_ISL_1351532	GISAID		B.1.1.519	Complete	29867	High	0/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0047/2021	EPI_ISL_1351535	GISAID		B.1.427/429	Complete	29867	Low	177/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0048/2021	EPI_ISL_1351538	GISAID		B.1.1.519	Complete	29865	Low	92/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0049/2021	EPI_ISL_1351540	GISAID		B.1.1.7	Complete	29847	High	0/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0050/2021	EPI_ISL_1351543	GISAID		B.1.1.519	Complete	29867	High	0/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0051/2021	EPI_ISL_1351547	GISAID		B.1.1.519	Complete	29865	High	0/0/-/-/-	Homo Sapiens	2021-02-28	Mexico / Sinaloa	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0052/2021	EPI_ISL_1351549	GISAID		B.1.427	Complete	29865	Low	331/0/NA/NA/NA	Homo Sapiens	2021-02-28	Mexico / Sonora	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0053/2021	EPI_ISL_1351552	GISAID		B.1.2	Complete	29866	High	13/0/-/-/-	Homo Sapiens	2021-02-27	Mexico / Sonora	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0054/2021	EPI_ISL_1351555	GISAID		B.1.1.519	Complete	29865	High	4/0/-/-/-	Homo Sapiens	2021-03-02	Mexico / Sinaloa	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0055/2021	EPI_ISL_1351558	GISAID		B.1.1.222	Complete	29867	High	0/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0056/2021	EPI_ISL_1351561	GISAID		B.1.1.517	Complete	29866	Low	177/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0057/2021	EPI_ISL_1351564	GISAID		B.1.243	Complete	29867	Low	471/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0058/2021	EPI_ISL_1351567	GISAID		B.1.1.519	Complete	29866	Low	149/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0059/2021	EPI_ISL_1351571	GISAID		B.1	Complete	29865	High	0/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0060/2021	EPI_ISL_1351574	GISAID		B.1.1.519	Complete	29871	High	0/0/-/-/-	Homo Sapiens	2021-03-04	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0061/2021	EPI_ISL_1351577	GISAID		B.1.1.519	Complete	29865	High	0/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Michoacan	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0062/2021	EPI_ISL_1351580	GISAID		B.1.427/429	Complete	29891	Low	172/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Michoacan	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0063/2021	EPI_ISL_1351583	GISAID		B.1.1.519	Complete	29864	Low	129/0/NA/NA/NA	Homo Sapiens	2021-03-05	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0064/2021	EPI_ISL_1351585	GISAID		B.1.1.519	Complete	29865	Low	138/0/NA/NA/NA	Homo Sapiens	2021-03-05	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0065/2021	EPI_ISL_1351589	GISAID		B.1.243	Complete	29851	Low	409/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0066/2021	EPI_ISL_1351592	GISAID		B.1.1.519	Complete	29865	High	4/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0067/2021	EPI_ISL_1351595	GISAID		B.1.427/429	Complete	29866	Low	177/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0068/2021	EPI_ISL_1351598	GISAID		B.1.243	Complete	29865	Low	419/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0069/2021	EPI_ISL_1351601	GISAID		B.1.1.519	Complete	29865	Low	175/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0070/2021	EPI_ISL_1351605	GISAID		B.1.427	Complete	29865	Low	175/0/NA/NA/NA	Homo Sapiens	2021-03-05	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0071/2021	EPI_ISL_1351608	GISAID		B.1.1.519	Complete	29867	High	0/0/-/-/-	Homo Sapiens	2021-03-05	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0072/2021	EPI_ISL_1351611	GISAID		B.1.1.519	Complete	29868	Low	67/0/NA/NA/NA	Homo Sapiens	2021-03-05	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0073/2021	EPI_ISL_1351614	GISAID		B.1.1.519	Complete	29866	High	10/0/-/-/-	Homo Sapiens	2021-03-05	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0074/2021	EPI_ISL_1351617	GISAID		B.1.1.519	Complete	29859	Low	777/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Sonora	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0075/2021	EPI_ISL_1351620	GISAID		B.1.427/429	Complete	29866	Low	227/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0076/2021	EPI_ISL_1351623	GISAID		B.1.1.519	Complete	29865	Low	415/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0077/2021	EPI_ISL_1351626	GISAID		B.1.427/429	Complete	29865	Low	177/0/NA/NA/NA	Homo Sapiens	2021-03-05	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0078/2021	EPI_ISL_1351629	GISAID		B.1.561	Complete	29868	Low	247/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Sinaloa	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0079/2021	EPI_ISL_1351632	GISAID		B.1	Complete	29876	Low	483/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Sinaloa	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0080/2021	EPI_ISL_1351635	GISAID		B.1.1.519	Complete	29865	Low	86/0/NA/NA/NA	Homo Sapiens	2021-03-02	Mexico / Sinaloa	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0081/2021	EPI_ISL_1351638	GISAID		B.1.1.519	Complete	29865	High	0/0/-/-/-	Homo Sapiens	2021-03-03	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0082/2021	EPI_ISL_1351642	GISAID		B.1.1.519	Complete	29865	Low	337/0/NA/NA/NA	Homo Sapiens	2021-03-03	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0083/2021	EPI_ISL_1351645	GISAID		B.1.1.519	Complete	29865	Low	429/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0084/2021	EPI_ISL_1351648	GISAID		B.1.1.519	Complete	29865	Low	383/0/NA/NA/NA	Homo Sapiens	2021-03-06	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0085/2021	EPI_ISL_1351651	GISAID		B.1.1.519	Complete	29886	High	1/0/-/-/-	Homo Sapiens	2021-03-04	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:51	2021-03-27 23:11:51
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0086/2021	EPI_ISL_1351654	GISAID		B.1.1.519	Complete	29866	Low	82/0/NA/NA/NA	Homo Sapiens	2021-03-06	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0087/2021	EPI_ISL_1351656	GISAID		B.1.1.519	Complete	29865	High	0/0/-/-/-	Homo Sapiens	2021-03-06	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0088/2021	EPI_ISL_1351659	GISAID		B.1.1.519	Complete	29865	Low	105/0/NA/NA/NA	Homo Sapiens	2021-03-06	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0089/2021	EPI_ISL_1351662	GISAID		B.1.1.519	Complete	29862	Low	444/0/NA/NA/NA	Homo Sapiens	2021-03-05	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0090/2021	EPI_ISL_1351665	GISAID		B.1.1.519	Complete	29866	Low	316/0/NA/NA/NA	Homo Sapiens	2021-03-04	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0091/2021	EPI_ISL_1351668	GISAID		B.1.1.519	Complete	29866	High	7/0/-/-/-	Homo Sapiens	2021-03-06	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0092/2021	EPI_ISL_1351670	GISAID		B.1.1.519	Complete	29865	Low	285/0/NA/NA/NA	Homo Sapiens	2021-03-05	Mexico / Guanajuato	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0093/2021	EPI_ISL_1351672	GISAID		B.1.1.519	Complete	29866	Low	177/0/NA/NA/NA	Homo Sapiens	2021-03-06	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0094/2021	EPI_ISL_1351675	GISAID		B.1.427/429	Complete	29866	Low	175/0/NA/NA/NA	Homo Sapiens	2021-03-06	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0095/2021	EPI_ISL_1351679	GISAID		B.1.1.519	Complete	29865	Low	515/0/NA/NA/NA	Homo Sapiens	2021-03-06	Mexico / Jalisco	Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO)	2021-03-25	Unidad de Genomica Avanzada	2021-03-27 23:11:52	2021-03-27 23:11:52
